attributeName	code	definition
AOUCode	ACFL	
AOUCode	ALFL	
AOUCode	AMBI	
AOUCode	AMCO	
AOUCode	AMCR	
AOUCode	AMGO	
AOUCode	AMKE	
AOUCode	AMRE	
AOUCode	AMRO	
AOUCode	AMWO	
AOUCode	ANHI	
AOUCode	ATSP	
AOUCode	BACS	
AOUCode	BADO	
AOUCode	BAEA	
AOUCode	BANS	
AOUCode	BAOR	
AOUCode	BARS	
AOUCode	BAWW	
AOUCode	BBCU	
AOUCode	BBSA	
AOUCode	BBWA	
AOUCode	BCCH	
AOUCode	BCNH	
AOUCode	BEKI	
AOUCode	BEVI	
AOUCode	BEWR	
AOUCode	BGGN	
AOUCode	BHCO	
AOUCode	BHVI	
AOUCode	BLBW	
AOUCode	BLGR	
AOUCode	BLJA	
AOUCode	BLPW	
AOUCode	BLTE	
AOUCode	BLVU	
AOUCode	BOBO	
AOUCode	BRBL	
AOUCode	BRCR	
AOUCode	BRTH	
AOUCode	BTBW	
AOUCode	BTNW	
AOUCode	BUOW	
AOUCode	BWHA	
AOUCode	BWTE	
AOUCode	BWWA	
AOUCode	CACH	
AOUCode	CAEG	
AOUCode	CANG	
AOUCode	CARW	
AOUCode	CAWA	
AOUCode	CCSP	
AOUCode	CEDW	
AOUCode	CERW	
AOUCode	CHSP	
AOUCode	CHSW	
AOUCode	CITE	
AOUCode	CLSW	
AOUCode	COGR	
AOUCode	COHA	
AOUCode	COMO	
AOUCode	CONI	
AOUCode	COSN	
AOUCode	COYE	
AOUCode	CSWA	
AOUCode	CWWI	
AOUCode	DCCO	
AOUCode	DEJU	
AOUCode	DICK	
AOUCode	DOWO	
AOUCode	EABL	
AOUCode	EAKI	
AOUCode	EAME	
AOUCode	EAPH	
AOUCode	EATO	
AOUCode	EAWP	
AOUCode	EUCD	
AOUCode	EUST	
AOUCode	EWPW	
AOUCode	FICR	
AOUCode	FISP	
AOUCode	GBHE	
AOUCode	GCFL	
AOUCode	GCKI	
AOUCode	GHOW	
AOUCode	GRCA	
AOUCode	GREG	
AOUCode	GRHE	
AOUCode	GRPC	
AOUCode	GRSP	
AOUCode	GTGR	
AOUCode	GWWA	
AOUCode	HAWO	
AOUCode	HESP	
AOUCode	HETH	
AOUCode	HOFI	
AOUCode	HOLA	
AOUCode	HOME	
AOUCode	HOSP	
AOUCode	HOWA	
AOUCode	HOWR	
AOUCode	INBU	
AOUCode	KEWA	
AOUCode	KILL	
AOUCode	KIRA	
AOUCode	LALO	
AOUCode	LARB	
AOUCode	LASP	
AOUCode	LBHE	
AOUCode	LEBI	
AOUCode	LEFL	
AOUCode	LETE	
AOUCode	LISP	
AOUCode	LOSH	
AOUCode	LOWA	
AOUCode	MALL	
AOUCode	MAWA	
AOUCode	MAWR	
AOUCode	MIKI	
AOUCode	MODO	
AOUCode	NAWA	
AOUCode	NOBO	
AOUCode	NOCA	
AOUCode	NOFL	
AOUCode	NOHA	
AOUCode	NOMO	
AOUCode	NOPA	
AOUCode	NOWA	
AOUCode	NRWS	
AOUCode	NSHO	
AOUCode	OCWA	
AOUCode	OROR	
AOUCode	OSFL	
AOUCode	OVEN	
AOUCode	PABU	
AOUCode	PAWA	
AOUCode	PBGR	
AOUCode	PEFA	
AOUCode	PHVI	
AOUCode	PIWA	
AOUCode	PIWO	
AOUCode	PRAW	
AOUCode	PROW	
AOUCode	PUFI	
AOUCode	PUGA	
AOUCode	PUMA	
AOUCode	RBGR	
AOUCode	RBGU	
AOUCode	RBWO	
AOUCode	RCKI	
AOUCode	REDH	
AOUCode	REVI	
AOUCode	RHWO	
AOUCode	RNEP	
AOUCode	ROPI	
AOUCode	ROWR	
AOUCode	RSHA	
AOUCode	RTHA	
AOUCode	RTHU	
AOUCode	RUBL	
AOUCode	RWBL	
AOUCode	SAPH	
AOUCode	SAVS	
AOUCode	SCTA	
AOUCode	SESA	
AOUCode	SEWR	
AOUCode	SNEG	
AOUCode	SORA	
AOUCode	SOSA	
AOUCode	SOSP	
AOUCode	SPSA	
AOUCode	SPTO	
AOUCode	SSHA	
AOUCode	STFL	
AOUCode	STGR	
AOUCode	SUTA	
AOUCode	SWHA	
AOUCode	SWSP	
AOUCode	SWTH	
AOUCode	TEWA	
AOUCode	TRES	
AOUCode	TUTI	
AOUCode	TUVU	
AOUCode	UNBI	
AOUCode	UNFL	
AOUCode	UNME	
AOUCode	UNOW	
AOUCode	UNSP	
AOUCode	UNSW	
AOUCode	UNVI	
AOUCode	UNWA	
AOUCode	UNWO	
