attributeName	code	definition
CoverClassRange	1 - 5%	
CoverClassRange	25 - 50%	
CoverClassRange	5 - 25%	
CoverClassRange	50 - 75%	
CoverClassRange	75 - 95%	
CoverClassRange	95 - 100%	
CoverClassRange	No cover	
CoverClassRange	trace - 1%	
FoliarCover	Cool Season Grass	
FoliarCover	Forbs	
FoliarCover	Moss and Lichen	
FoliarCover	Shrubs and Vines	
FoliarCover	Total Foliar Cover ( < 1.5 m tall )	
FoliarCover	Tree Seedlings	
FoliarCover	Warm Season Grass	
FoliarCover	unknown	
ParkUnit	Agate Fossil Beds	
ParkUnit	Arkansas Post	
ParkUnit	Effigy Mounds	
ParkUnit	George Washington Carver	
ParkUnit	Herbert Hoover	
ParkUnit	Homestead	
ParkUnit	Hopewell Culture	
ParkUnit	Lincoln Boyhood	
ParkUnit	Pea Ridge	
ParkUnit	Pipestone	
ParkUnit	Tallgrass Prairie	
ParkUnit	Wilson's Creek	
