attributeName	code	definition
CoverClassRange	1 - 5%	
CoverClassRange	25 - 50%	
CoverClassRange	5 - 25%	
CoverClassRange	50 - 75%	
CoverClassRange	75 - 95%	
CoverClassRange	95 - 100%	
CoverClassRange	No cover	
CoverClassRange	trace - 1%	
Distance	15 m distance	
Distance	2 m distance	
Distance	5 m distance	
Height	0.25 m	
Height	0.50 m	
Height	0.75 m	
Height	1.0 m	
Height	1.25 m	
Height	1.50 m	
Height	1.75 m	
Height	2.0 m	
ParkUnit	Agate Fossil Beds	
ParkUnit	Arkansas Post	
ParkUnit	Effigy Mounds	
ParkUnit	George Washington Carver	
ParkUnit	Herbert Hoover	
ParkUnit	Homestead	
ParkUnit	Hopewell Culture	
ParkUnit	Lincoln Boyhood	
ParkUnit	Pea Ridge	
ParkUnit	Pipestone	
ParkUnit	Tallgrass Prairie	
ParkUnit	Wilson's Creek	
