attributeName	code	definition
CommonName	American basswood	
CommonName	American beautyberry	
CommonName	American beech	
CommonName	American black elderberry	
CommonName	American bladdernut	
CommonName	American elm	
CommonName	American hazelnut	
CommonName	American hornbeam	
CommonName	American plum	
CommonName	American sycamore	
CommonName	Black Hills Spruce	
CommonName	Buckeye	
CommonName	Carolina buckthorn	
CommonName	Douglas Fir	
CommonName	European privet	
CommonName	Kentucky coffeetree	
CommonName	Magnolia spp.	
CommonName	Morrow's honeysuckle	
CommonName	Ohio buckeye	
CommonName	Ozark chinkapin	
CommonName	Pine	
CommonName	Russian olive	
CommonName	Shumard's oak	
CommonName	Siberian elm	
CommonName	Tatarian honeysuckle	
CommonName	apple	
CommonName	ash	
CommonName	autumn olive	
CommonName	bald cypress	
CommonName	bigtooth aspen	
CommonName	birch	
CommonName	bitternut hickory	
CommonName	black cherry	
CommonName	black hickory	
CommonName	black locust	
CommonName	black oak	
CommonName	black walnut	
CommonName	black willow	
CommonName	blackgum	
CommonName	blackhaw	
CommonName	blackjack oak	
CommonName	boxelder	
CommonName	buckthorn	
CommonName	bur oak	
CommonName	burningbush	
CommonName	cherrybark oak	
CommonName	chinkapin oak	
CommonName	choke cherry	
CommonName	common buckthorn	
CommonName	common hackberry	
CommonName	common persimmon	
CommonName	common prickly ash	
CommonName	common serviceberry	
CommonName	cottonwood	
CommonName	desert false indigo	
CommonName	devil's walking-sticks	
CommonName	dogwood	
CommonName	dwarf hackberry	
CommonName	eastern cottonwood	
CommonName	eastern redbud	
CommonName	eastern redcedar	
CommonName	eastern swampprivet	
CommonName	eastern white pine	
CommonName	elm	
CommonName	flowering dogwood	
CommonName	fragrant sumac	
CommonName	goldenrain tree	
CommonName	gray dogwood	
CommonName	green ash	
CommonName	gum bully	
CommonName	hackberry	
CommonName	hardy orange	
CommonName	hawthorn	
CommonName	hazelnuts	
CommonName	hickory	
CommonName	hickory spp	
CommonName	hollies	
CommonName	honeylocust	
CommonName	honeylocusts	
CommonName	honeysuckle	
CommonName	hophornbeam	
CommonName	juniper	
CommonName	loblolly pine	
CommonName	locusts	
CommonName	maple spp	
CommonName	mockernut hickory	
CommonName	mulberry	
CommonName	norhtern catalpa	
CommonName	northern red oak	
CommonName	northern spicebush	
CommonName	oak	
CommonName	oleaster	
CommonName	osage orange	
CommonName	paper birch	
CommonName	pawpaw	
CommonName	pawpaws	
CommonName	pecan	
CommonName	persimmons	
CommonName	pignut hickory	
CommonName	plum	
CommonName	possumhaw	
CommonName	post oak	
CommonName	quaking aspen	
CommonName	red buckeye	
CommonName	red hickory	
CommonName	red maple	
CommonName	red mulberry	
CommonName	redbuds	
CommonName	riverbank grape	
CommonName	roughleaf dogwood	
CommonName	rusty blackhaw	
CommonName	sassafras	
CommonName	scarlet oak	
CommonName	serviceberry	
CommonName	shagbark hickory	
CommonName	shingle oak	
CommonName	silky dogwood	
CommonName	silver maple	
CommonName	slippery elm	
CommonName	smooth sumac	
CommonName	snag	
CommonName	southern red oak	
CommonName	stiff dogwood	
CommonName	sugar maple	
CommonName	sugarberry	
CommonName	sumac	
CommonName	sweetgum	
CommonName	sweetgums	
CommonName	sycamores	
CommonName	tree of heaven	
CommonName	tuliptree	
CommonName	tuliptrees	
CommonName	tupelos	
CommonName	unknown shrub	
CommonName	viburnum	
CommonName	walnuts	
CommonName	water oak	
CommonName	western snowberry	
CommonName	western soapberry	
CommonName	white ash	
CommonName	white mulberry	
CommonName	white oak	
CommonName	willow	
CommonName	willow oak	
CommonName	winged elm	
CommonName	winged sumac	
DBHClass	1.1 - 2.5 cm	
DBHClass	15.1 - 23.0 cm	
DBHClass	2.6 - 8.0 cm	
DBHClass	23.1 - 38.0 cm	
DBHClass	8.1 - 15.0 cm	
DBHClass	< 1.0 cm	
DBHClass	> 38.0 cm	
Family	Aceraceae	
Family	Anacardiaceae	
Family	Annonaceae	
Family	Aquifoliaceae	
Family	Araliaceae	
Family	Betulaceae	
Family	Bignoniaceae	
Family	Caprifoliaceae	
Family	Celastraceae	
Family	Cornaceae	
Family	Cupressaceae	
Family	Ebenaceae	
Family	Elaeagnaceae	
Family	Fabaceae	
Family	Fagaceae	
Family	Hamamelidaceae	
Family	Hippocastanaceae	
Family	Juglandaceae	
Family	Lauraceae	
Family	Magnoliaceae	
Family	Moraceae	
Family	Nyssaceae	
Family	Oleaceae	
Family	Pinaceae	
Family	Platanaceae	
Family	Rhamnaceae	
Family	Rosaceae	
Family	Rutaceae	
Family	Salicaceae	
Family	Sapindaceae	
Family	Sapotaceae	
Family	Shrub	
Family	Simaroubaceae	
Family	Snag	
Family	Staphyleaceae	
Family	Tiliaceae	
Family	Ulmaceae	
Family	Verbenaceae	
Family	Vitaceae	
ParkUnit	Arkansas Post	
ParkUnit	Effigy Mounds	
ParkUnit	George Washington Carver	
ParkUnit	Herbert Hoover	
ParkUnit	Homestead	
ParkUnit	Hopewell Culture	
ParkUnit	Lincoln Boyhood	
ParkUnit	Pea Ridge	
ParkUnit	Pipestone	
ParkUnit	Tallgrass Prairie	
ParkUnit	Wilson's Creek	
ScientificName	Acer negundo	
ScientificName	Acer rubrum	
ScientificName	Acer saccharinum	
ScientificName	Acer saccharum	
ScientificName	Acer spp	
ScientificName	Aesculus	
ScientificName	Aesculus glabra	
ScientificName	Aesculus pavia	
ScientificName	Ailanthus altissima	
ScientificName	Amelanchier arborea	
ScientificName	Amelanchier spp	
ScientificName	Amorpha fruticosa	
ScientificName	Aralia	
ScientificName	Asimina	
ScientificName	Asimina triloba	
ScientificName	Betula papyrifera	
ScientificName	Betula spp	
ScientificName	Callicarpa americana	
ScientificName	Carpinus caroliniana	
ScientificName	Carya alba	
ScientificName	Carya cordiformis	
ScientificName	Carya glabra	
ScientificName	Carya illinoinensis	
ScientificName	Carya ovalis	
ScientificName	Carya ovata	
ScientificName	Carya spp	
ScientificName	Carya texana	
ScientificName	Castanea pumila var. ozarkensis	
ScientificName	Catalpa speciosa	
ScientificName	Celtis laevigata	
ScientificName	Celtis occidentalis	
ScientificName	Celtis spp	
ScientificName	Celtis tenuifolia	
ScientificName	Cercis	
ScientificName	Cercis canadensis	
ScientificName	Cornus drummondii	
ScientificName	Cornus florida	
ScientificName	Cornus foemina	
ScientificName	Cornus obliqua	
ScientificName	Cornus racemosa	
ScientificName	Cornus spp	
ScientificName	Corylus	
ScientificName	Corylus americana	
ScientificName	Crataegus spp	
ScientificName	Diospyros	
ScientificName	Diospyros virginiana	
ScientificName	Elaeagnus angustifolia	
ScientificName	Elaeagnus spp	
ScientificName	Elaeagnus umbellata	
ScientificName	Euonymus alatus	
ScientificName	Fagus grandifolia	
ScientificName	Forestiera acuminata	
ScientificName	Frangula caroliniana	
ScientificName	Fraxinus americana	
ScientificName	Fraxinus pennsylvanica	
ScientificName	Fraxinus spp	
ScientificName	Gleditsia	
ScientificName	Gleditsia triacanthos	
ScientificName	Gymnocladus dioicus	
ScientificName	Ilex	
ScientificName	Ilex decidua	
ScientificName	Juglans	
ScientificName	Juglans nigra	
ScientificName	Juniperus spp	
ScientificName	Juniperus virginiana	
ScientificName	Koelreuteria paniculata	
ScientificName	Ligustrum vulgare	
ScientificName	Lindera benzoin	
ScientificName	Liquidambar	
ScientificName	Liquidamber styraciflua	
ScientificName	Liriodendron	
ScientificName	Liriodendron tulipifera	
ScientificName	Lonicera morrowii	
ScientificName	Lonicera spp	
ScientificName	Lonicera tatarica	
ScientificName	Maclura pomifera	
ScientificName	Malus spp	
ScientificName	Morus alba	
ScientificName	Morus rubra	
ScientificName	Morus spp	
ScientificName	NULL	
ScientificName	Nyssa	
ScientificName	Nyssa sylvatica	
ScientificName	Ostrya virginiana	
ScientificName	Picea glauca	
ScientificName	Pinus spp	
ScientificName	Pinus strobus	
ScientificName	Pinus taeda	
ScientificName	Platanus	
ScientificName	Platanus occidentalis	
ScientificName	Poncirus trifoliata	
ScientificName	Populus deltoides	
ScientificName	Populus grandidentata	
ScientificName	Populus spp	
ScientificName	Populus tremuloides	
ScientificName	Prunus americana	
ScientificName	Prunus serotina	
ScientificName	Prunus spp	
ScientificName	Prunus virginiana	
ScientificName	Pseudotsuga menziesii	
ScientificName	Quercus alba	
ScientificName	Quercus coccinea	
ScientificName	Quercus falcata	
ScientificName	Quercus imbricaria	
ScientificName	Quercus macrocarpa	
ScientificName	Quercus marilandica	
ScientificName	Quercus muehlenbergii	
ScientificName	Quercus nigra	
ScientificName	Quercus pagoda	
ScientificName	Quercus phellos	
ScientificName	Quercus rubra	
ScientificName	Quercus shumardii	
ScientificName	Quercus spp	
ScientificName	Quercus stellata	
ScientificName	Quercus velutina	
ScientificName	Rhamnus cathartica	
ScientificName	Rhamnus spp	
ScientificName	Rhus aromatica	
ScientificName	Rhus copallinum	
ScientificName	Rhus glabra	
ScientificName	Rhus spp	
ScientificName	Robinia	
ScientificName	Robinia pseudoacacia	
ScientificName	Salix nigra	
ScientificName	Salix spp	
ScientificName	Sambucus nigra ssp. canadensis	
ScientificName	Sapindus sapinnaria var. drummondii	
ScientificName	Sassafras	
ScientificName	Sassafras albidum	
ScientificName	Sideroxylon lanuginosum	
ScientificName	Snag	
ScientificName	Staphylea trifolia	
ScientificName	Symphoricarpos occidentalis	
ScientificName	Taxodium distichum	
ScientificName	Tilia americana	
ScientificName	Ulmus alata	
ScientificName	Ulmus americana	
ScientificName	Ulmus pumila	
ScientificName	Ulmus rubra	
ScientificName	Ulmus spp	
ScientificName	Viburnum prunifolium	
ScientificName	Viburnum rufidulum	
ScientificName	Viburnum spp	
ScientificName	Vitis riparia	
ScientificName	Zanthoxylum americanum	
TaxonCode	ACER	
TaxonCode	ACNE2	
TaxonCode	ACRU	
TaxonCode	ACSA2	
TaxonCode	ACSA3	
TaxonCode	AEGL	
TaxonCode	AEPA	
TaxonCode	AESCU	
TaxonCode	AIAL	
TaxonCode	AMAR3	
TaxonCode	AMELA	
TaxonCode	AMFR	
TaxonCode	ARALI	
TaxonCode	ASIMI	
TaxonCode	ASTR	
TaxonCode	BEPA	
TaxonCode	BETUL	
TaxonCode	CAAL27	
TaxonCode	CAAM2	
TaxonCode	CACA18	
TaxonCode	CACO15	
TaxonCode	CAGL8	
TaxonCode	CAIL2	
TaxonCode	CAOV	
TaxonCode	CAOV2	
TaxonCode	CAOV3	
TaxonCode	CAPUO	
TaxonCode	CARYA	
TaxonCode	CASP8	
TaxonCode	CATE9	
TaxonCode	CECA4	
TaxonCode	CELA	
TaxonCode	CELTI	
TaxonCode	CEOC	
TaxonCode	CERCI	
TaxonCode	CETE	
TaxonCode	COAM3	
TaxonCode	CODR	
TaxonCode	COFL	
TaxonCode	COFO	
TaxonCode	COOB9	
TaxonCode	CORA6	
TaxonCode	CORNU	
TaxonCode	CORYL	
TaxonCode	CRATA	
TaxonCode	DIOSP	
TaxonCode	DIVI5	
TaxonCode	ELAEA	
TaxonCode	ELAN	
TaxonCode	ELUM	
TaxonCode	EUAL13	
TaxonCode	FAGR	
TaxonCode	FOAC	
TaxonCode	FRAM2	
TaxonCode	FRAXI	
TaxonCode	FRCA13	
TaxonCode	FRPE	
TaxonCode	GLEDI	
TaxonCode	GLTR	
TaxonCode	GYDI	
TaxonCode	ILDE	
TaxonCode	ILEX	
TaxonCode	JUGLA	
TaxonCode	JUNI	
TaxonCode	JUNIP	
TaxonCode	JUVI	
TaxonCode	KOPA	
TaxonCode	LIBE3	
TaxonCode	LIQUI	
TaxonCode	LIRIO	
TaxonCode	LIST2	
TaxonCode	LITU	
TaxonCode	LIVU	
TaxonCode	LOMO2	
TaxonCode	LONIC	
TaxonCode	LOTA	
TaxonCode	MAGNO	
TaxonCode	MALUS	
TaxonCode	MAPO	
TaxonCode	MOAL	
TaxonCode	MORU2	
TaxonCode	MORUS	
TaxonCode	NYSSA	
TaxonCode	NYSY	
TaxonCode	OSVI	
TaxonCode	PIGL	
TaxonCode	PINUS	
TaxonCode	PIST	
TaxonCode	PITA	
TaxonCode	PLATA	
TaxonCode	PLOC	
TaxonCode	PODE3	
TaxonCode	POGR4	
TaxonCode	POPUL	
TaxonCode	POTR4	
TaxonCode	POTR5	
TaxonCode	PRAM	
TaxonCode	PRSE2	
TaxonCode	PRUNU	
TaxonCode	PRVI	
TaxonCode	PSME	
TaxonCode	QUAL	
TaxonCode	QUCO2	
TaxonCode	QUERC	
TaxonCode	QUFA	
TaxonCode	QUIM	
TaxonCode	QUMA2	
TaxonCode	QUMA3	
TaxonCode	QUMU	
TaxonCode	QUNI	
TaxonCode	QUPA5	
TaxonCode	QUPH	
TaxonCode	QURU	
TaxonCode	QUSH	
TaxonCode	QUST	
TaxonCode	QUVE	
TaxonCode	RHAMN	
TaxonCode	RHAR4	
TaxonCode	RHCA3	
TaxonCode	RHCO	
TaxonCode	RHGL	
TaxonCode	RHUS	
TaxonCode	ROBIN	
TaxonCode	ROPS	
TaxonCode	SAAL5	
TaxonCode	SALIX	
TaxonCode	SANI	
TaxonCode	SANIC4	
TaxonCode	SASAD	
TaxonCode	SASSA	
TaxonCode	SILA20	
TaxonCode	SNAG	
TaxonCode	STTR	
TaxonCode	SYOC	
TaxonCode	TADI2	
TaxonCode	TIAM	
TaxonCode	ULAL	
TaxonCode	ULAM	
TaxonCode	ULMUS	
TaxonCode	ULPU	
TaxonCode	ULRU	
TaxonCode	UNKSHB	
TaxonCode	VIBUR	
TaxonCode	VIPR	
TaxonCode	VIRI	
TaxonCode	VIRU	
TaxonCode	ZAAM	
