geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
HOCU1	39.373643	39.373643	-83.007052	-83.007052
HOCU2	39.377238	39.377238	-83.007155	-83.007155
HOCU4	39.377315	39.377315	-83.002664	-83.002664
HOCU3	39.380764	39.380764	-83.007256	-83.007256
HOCU5	39.381415	39.381415	-82.975234	-82.975234
HOCU6	39.381348	39.381348	-82.979207	-82.979207
HOCU7	39.381269	39.381269	-82.983827	-82.983827
HOCU8	39.384867	39.384867	-82.983928	-82.983928
HOCU9	39.384945	39.384945	-82.979309	-82.979309
HOCU10	39.388556	39.388556	-82.979411	-82.979411
HOCU11	39.379802	39.379802	-82.977839	-82.977839
HOCU12	39.361357	39.361357	-83.099337	-83.099337
HOCU13	39.365043	39.365043	-83.094816	-83.094816
HOCU14	39.361441	39.361441	-83.094709	-83.094709
HOCU15	39.358668	39.358668	-83.09357	-83.09357
HOCU16	39.361524	39.361524	-83.09008	-83.09008
HOCU17	39.365126	39.365126	-83.090188	-83.090188
HOCU18	39.361607	39.361607	-83.085452	-83.085452
HOCU19	39.288876	39.288876	-82.92122	-82.92122
HOCU20	39.2991		39.2991		-82.920874	-82.920874
HOCU21	39.30282	39.30282	-82.921602	-82.921602
HOCU22	39.299163	39.299163	-82.917056	-82.917056
HOCU23	39.29565	39.29565	-82.916961	-82.916961
HOCU24	39.238446	39.238446	-83.222207	-83.222207
HOCU25	39.234854	39.234854	-83.222094	-83.222094
HOCU26	39.231414	39.231414	-83.221985	-83.221985
HOCU27	39.233795	39.233795	-83.215237	-83.215237
ARPO5	34.017896	34.017896	-91.346247	-91.346247
ARPO4	34.020487	34.020487	-91.349259	-91.349259
ARPO3	34.022996	34.022996	-91.346148	-91.346148
ARPO1	34.025587	34.025587	-91.349161	-91.349161
ARPO2	34.025504	34.025504	-91.343036	-91.343036
ARPO11	33.981103	33.981103	-91.267358	-91.267358
ARPO8	33.983696	33.983696	-91.270367	-91.270367
ARPO9	33.983609	33.983609	-91.264245	-91.264245
ARPO6	33.986202	33.986202	-91.267254	-91.267254
ARPO10	33.983523	33.983523	-91.258124	-91.258124
ARPO7	33.986116	33.986116	-91.261132	-91.261132
ARPO27	34.012755	34.012755	-91.343284	-91.343284
ARPO26	34.014051	34.014051	-91.34479	-91.34479
ARPO25	34.016642	34.016642	-91.347802	-91.347802
ARPO24	34.017937	34.017937	-91.349309	-91.349309
ARPO21	34.020528	34.020528	-91.352322	-91.352322
ARPO23	34.019192	34.019192	-91.347753	-91.347753
ARPO18	34.021782	34.021782	-91.350766	-91.350766
ARPO22	34.020446	34.020446	-91.346197	-91.346197
ARPO19	34.021741	34.021741	-91.347704	-91.347704
ARPO17	34.023037	34.023037	-91.34921	-91.34921
ARPO20	34.0217	34.0217	-91.344641	-91.344641
ARPO14	34.024291	34.024291	-91.347654	-91.347654
ARPO15	34.02425	34.02425	-91.344592	-91.344592
ARPO12	34.025546	34.025546	-91.346098	-91.346098
ARPO16	34.024209	34.024209	-91.341529	-91.341529
ARPO13	34.025463	34.025463	-91.339973	-91.339973
ARPO33	33.982399	33.982399	-91.268862	-91.268862
ARPO35	33.98106	33.98106	-91.264297	-91.264297
ARPO34	33.982356	33.982356	-91.265801	-91.265801
ARPO31	33.983652	33.983652	-91.267306	-91.267306
ARPO28	33.984949	33.984949	-91.268811	-91.268811
ARPO29	33.984906	33.984906	-91.26575	-91.26575
ARPO36	33.980973	33.980973	-91.258176	-91.258176
ARPO32	33.983566	33.983566	-91.261184	-91.261184
ARPO30	33.984863	33.984863	-91.262689	-91.262689
GWCA63	36.982304	36.982304	-94.357186	-94.357186
GWCA53	36.98356	36.98356	-94.358797	-94.358797
GWCA65	36.98234	36.98234	-94.354008	-94.354008
GWCA55	36.983597	36.983597	-94.35562	-94.35562
GWCA41	36.986109	36.986109	-94.358842	-94.358842
GWCA57	36.983633	36.983633	-94.352442	-94.352442
GWCA32	36.987402	36.987402	-94.357276	-94.357276
GWCA21	36.988658	36.988658	-94.358887	-94.358887
GWCA34	36.987438	36.987438	-94.354099	-94.354099
GWCA23	36.988694	36.988694	-94.35571	-94.35571
GWCA12	36.989951	36.989951	-94.357321	-94.357321
GWCA1	36.991207	36.991207	-94.358933	-94.358933
GWCA25	36.988731	36.988731	-94.352532	-94.352532
GWCA14	36.989987	36.989987	-94.354144	-94.354144
GWCA3	36.991243	36.991243	-94.355755	-94.355755
GWCA5	36.99128	36.99128	-94.352578	-94.352578
GWCA67	36.981658	36.981658	-94.357968	-94.357968
GWCA62	36.982286	36.982286	-94.358774	-94.358774
GWCA68	36.981676	36.981676	-94.35638	-94.35638
GWCA58	36.982932	36.982932	-94.357991	-94.357991
GWCA69	36.981694	36.981694	-94.354791	-94.354791
GWCA64	36.982322	36.982322	-94.355597	-94.355597
GWCA59	36.98295	36.98295	-94.356403	-94.356403
GWCA54	36.983578	36.983578	-94.357208	-94.357208
GWCA49	36.984207	36.984207	-94.358014	-94.358014
GWCA46	36.984835	36.984835	-94.358819	-94.358819
GWCA70	36.981712	36.981712	-94.353203	-94.353203
GWCA60	36.982968	36.982968	-94.354814	-94.354814
GWCA50	36.984225	36.984225	-94.356425	-94.356425
GWCA43	36.985481	36.985481	-94.358036	-94.358036
GWCA66	36.982358	36.982358	-94.35242	-94.35242
GWCA61	36.982987	36.982987	-94.353225	-94.353225
GWCA56	36.983615	36.983615	-94.354031	-94.354031
GWCA51	36.984243	36.984243	-94.354836	-94.354836
GWCA47	36.984871	36.984871	-94.355642	-94.355642
GWCA44	36.985499	36.985499	-94.356448	-94.356448
GWCA42	36.986127	36.986127	-94.357253	-94.357253
GWCA36	36.986756	36.986756	-94.358059	-94.358059
GWCA31	36.987384	36.987384	-94.358865	-94.358865
GWCA52	36.984261	36.984261	-94.353248	-94.353248
GWCA37	36.986774	36.986774	-94.35647	-94.35647
GWCA26	36.98803	36.98803	-94.358082	-94.358082
GWCA48	36.984907	36.984907	-94.352465	-94.352465
GWCA45	36.985535	36.985535	-94.35327	-94.35327
GWCA38	36.986792	36.986792	-94.354882	-94.354882
GWCA33	36.98742	36.98742	-94.355687	-94.355687
GWCA27	36.988048	36.988048	-94.356493	-94.356493
GWCA22	36.988676	36.988676	-94.357299	-94.357299
GWCA16	36.989304	36.989304	-94.358104	-94.358104
GWCA11	36.989933	36.989933	-94.35891	-94.35891
GWCA39	36.98681	36.98681	-94.353293	-94.353293
GWCA28	36.988066	36.988066	-94.354904	-94.354904
GWCA17	36.989323	36.989323	-94.356516	-94.356516
GWCA6	36.990579	36.990579	-94.358127	-94.358127
GWCA40	36.986828	36.986828	-94.351704	-94.351704
GWCA35	36.987456	36.987456	-94.35251	-94.35251
GWCA29	36.988084	36.988084	-94.353316	-94.353316
GWCA24	36.988713	36.988713	-94.354121	-94.354121
GWCA18	36.989341	36.989341	-94.354927	-94.354927
GWCA13	36.989969	36.989969	-94.355733	-94.355733
GWCA7	36.990597	36.990597	-94.356538	-94.356538
GWCA2	36.991225	36.991225	-94.357344	-94.357344
GWCA30	36.988103	36.988103	-94.351727	-94.351727
GWCA19	36.989359	36.989359	-94.353338	-94.353338
GWCA8	36.990615	36.990615	-94.35495	-94.35495
GWCA20	36.989377	36.989377	-94.351749	-94.351749
GWCA15	36.990005	36.990005	-94.352555	-94.352555
GWCA9	36.990633	36.990633	-94.353361	-94.353361
GWCA4	36.991262	36.991262	-94.354166	-94.354166
GWCA10	36.990652	36.990652	-94.351772	-94.351772
LIBO38	38.114267	38.114267	-86.997489	-86.997489
LIBO29	38.115542	38.115542	-86.999102	-86.999102
LIBO39	38.114267	38.114267	-86.994262	-86.994262
LIBO22	38.116816	38.116816	-86.997489	-86.997489
LIBO24	38.116816	38.116816	-86.994262	-86.994262
LIBO16	38.118091	38.118091	-86.995875	-86.995875
LIBO9	38.12064	38.12064	-86.995875	-86.995875
LIBO4	38.123189	38.123189	-86.995875	-86.995875
LIBO2	38.124464	38.124464	-86.997488	-86.997488
LIBO36	38.114267	38.114267	-87.000715	-87.000715
LIBO40	38.112992	38.112992	-86.997489	-86.997489
LIBO37	38.114267	38.114267	-86.999102	-86.999102
LIBO32	38.114904	38.114904	-86.999909	-86.999909
LIBO33	38.114904	38.114904	-86.998295	-86.998295
LIBO41	38.112992	38.112992	-86.994262	-86.994262
LIBO34	38.114904	38.114904	-86.996682	-86.996682
LIBO30	38.115542	38.115542	-86.997489	-86.997489
LIBO26	38.116179	38.116179	-86.998295	-86.998295
LIBO35	38.114904	38.114904	-86.995069	-86.995069
LIBO27	38.116179	38.116179	-86.996682	-86.996682
LIBO31	38.115541	38.115541	-86.994262	-86.994262
LIBO28	38.116179	38.116179	-86.995069	-86.995069
LIBO23	38.116816	38.116816	-86.995875	-86.995875
LIBO19	38.117453	38.117453	-86.996682	-86.996682
LIBO20	38.117453	38.117453	-86.995069	-86.995069
LIBO13	38.118728	38.118728	-86.996682	-86.996682
LIBO17	38.118091	38.118091	-86.994262	-86.994262
LIBO14	38.118728	38.118728	-86.995068	-86.995068
LIBO10	38.120003	38.120003	-86.995068	-86.995068
LIBO7	38.121277	38.121277	-86.996682	-86.996682
LIBO8	38.121277	38.121277	-86.995068	-86.995068
LIBO6	38.121914	38.121914	-86.995875	-86.995875
LIBO5	38.122552	38.122552	-86.995068	-86.995068
LIBO3	38.123826	38.123826	-86.995068	-86.995068
LIBO1	38.125101	38.125101	-86.995068	-86.995068
PERI99	36.420999	36.420999	-94.05574	-94.05574
PERI98	36.423576	36.423576	-94.05262	-94.05262
PERI97	36.436296	36.436296	-94.055947	-94.055947
PERI96	36.438873	36.438873	-94.052827	-94.052827
PERI92	36.441395	36.441395	-94.056016	-94.056016
PERI86	36.443916	36.443916	-94.059206	-94.059206
PERI78	36.446438	36.446438	-94.062397	-94.062397
PERI93	36.441451	36.441451	-94.049706	-94.049706
PERI87	36.443972	36.443972	-94.052895	-94.052895
PERI79	36.446494	36.446494	-94.056085	-94.056085
PERI68	36.449015	36.449015	-94.059276	-94.059276
PERI94	36.441506	36.441506	-94.043395	-94.043395
PERI88	36.444028	36.444028	-94.046584	-94.046584
PERI80	36.44655	36.44655	-94.049774	-94.049774
PERI69	36.449071	36.449071	-94.052964	-94.052964
PERI59	36.451593	36.451593	-94.056155	-94.056155
PERI49	36.454114	36.454114	-94.059345	-94.059345
PERI95	36.441561	36.441561	-94.037084	-94.037084
PERI89	36.444083	36.444083	-94.040273	-94.040273
PERI81	36.446605	36.446605	-94.043463	-94.043463
PERI70	36.449127	36.449127	-94.046653	-94.046653
PERI60	36.451648	36.451648	-94.049843	-94.049843
PERI50	36.45417	36.45417	-94.053033	-94.053033
PERI40	36.456692	36.456692	-94.056224	-94.056224
PERI30	36.459213	36.459213	-94.059414	-94.059414
