ParkUnit,Plot,SubPlot,EventDate,TaxonCode,Family,CommonName,ScientificName,DBHClass,TreeCount
Arkansas Post,ARPO1,1,2007-06-05 00:00:00.000,QUFA,Fagaceae,southern red oak,Quercus falcata,15.1 - 23.0 cm,1
Arkansas Post,ARPO1,1,2007-06-05 00:00:00.000,QUFA,Fagaceae,southern red oak,Quercus falcata,> 38.0 cm,1
Arkansas Post,ARPO1,1,2011-06-08 00:00:00.000,CAAM2,Verbenaceae,American beautyberry,Callicarpa americana,< 1.0 cm,10
Arkansas Post,ARPO1,1,2011-06-08 00:00:00.000,QUST,Fagaceae,post oak,Quercus stellata,15.1 - 23.0 cm,1
Arkansas Post,ARPO1,1,2011-06-08 00:00:00.000,QUST,Fagaceae,post oak,Quercus stellata,> 38.0 cm,1
Arkansas Post,ARPO1,1,2011-06-08 00:00:00.000,ULAL,Ulmaceae,winged elm,Ulmus alata,< 1.0 cm,1
Arkansas Post,ARPO1,1,2015-05-18 00:00:00.000,CAAM2,Verbenaceae,American beautyberry,Callicarpa americana,< 1.0 cm,10
Arkansas Post,ARPO1,1,2015-05-18 00:00:00.000,CAAM2,Verbenaceae,American beautyberry,Callicarpa americana,1.1 - 2.5 cm,10
Arkansas Post,ARPO1,1,2015-05-18 00:00:00.000,QUFA,Fagaceae,southern red oak,Quercus falcata,> 38.0 cm,1
Arkansas Post,ARPO1,1,2015-05-18 00:00:00.000,QUST,Fagaceae,post oak,Quercus stellata,< 1.0 cm,4
Arkansas Post,ARPO1,1,2015-05-18 00:00:00.000,QUST,Fagaceae,post oak,Quercus stellata,1.1 - 2.5 cm,4
Arkansas Post,ARPO1,1,2015-05-18 00:00:00.000,QUST,Fagaceae,post oak,Quercus stellata,> 38.0 cm,2
Arkansas Post,ARPO1,1,2015-05-18 00:00:00.000,SNAG,Snag,snag,Snag,8.1 - 15.0 cm,1
Arkansas Post,ARPO1,1,2015-05-18 00:00:00.000,ULAL,Ulmaceae,winged elm,Ulmus alata,< 1.0 cm,4
Arkansas Post,ARPO1,1,2015-05-18 00:00:00.000,ULAL,Ulmaceae,winged elm,Ulmus alata,1.1 - 2.5 cm,4
Arkansas Post,ARPO1,1,2019-05-21 00:00:00.000,ARALI,Araliaceae,devil's walking-sticks,Aralia,1.1 - 2.5 cm,1
Arkansas Post,ARPO1,1,2019-05-21 00:00:00.000,QUERC,Fagaceae,oak,Quercus spp,2.6 - 8.0 cm,1
Arkansas Post,ARPO1,1,2019-05-21 00:00:00.000,QUERC,Fagaceae,oak,Quercus spp,> 38.0 cm,2
Arkansas Post,ARPO1,1,2019-05-21 00:00:00.000,SNAG,Snag,snag,Snag,15.1 - 23.0 cm,1
Arkansas Post,ARPO1,1,2019-05-21 00:00:00.000,ULMUS,Ulmaceae,elm,Ulmus spp,< 1.0 cm,12
Arkansas Post,ARPO1,1,2019-05-21 00:00:00.000,ULMUS,Ulmaceae,elm,Ulmus spp,1.1 - 2.5 cm,4
