Plot,SubPlot,EventDate,CanopyType,ReadingNumber,DotScore
ARPO1,1,Jun  5 2007,Hardwood,1,93
ARPO1,1,Jun  5 2007,Hardwood,2,95
ARPO1,1,Jun  5 2007,Hardwood,3,96
ARPO1,1,Jun  5 2007,Hardwood,4,93
ARPO1,1,Jun  5 2007,Total,1,93
ARPO1,1,Jun  5 2007,Total,2,95
ARPO1,1,Jun  5 2007,Total,3,96
ARPO1,1,Jun  5 2007,Total,4,93
ARPO1,1,Jun  8 2011,Hardwood,1,96
ARPO1,1,Jun  8 2011,Hardwood,2,96
ARPO1,1,Jun  8 2011,Hardwood,3,96
ARPO1,1,Jun  8 2011,Hardwood,4,96
ARPO1,1,Jun  8 2011,Total,1,96
ARPO1,1,Jun  8 2011,Total,2,96
ARPO1,1,Jun  8 2011,Total,3,96
ARPO1,1,Jun  8 2011,Total,4,96
ARPO1,1,May 18 2015,Hardwood,1,91
ARPO1,1,May 18 2015,Hardwood,2,92
ARPO1,1,May 18 2015,Hardwood,3,92
ARPO1,1,May 18 2015,Hardwood,4,93
ARPO1,1,May 18 2015,Total,1,91
ARPO1,1,May 18 2015,Total,2,92
ARPO1,1,May 18 2015,Total,3,92
ARPO1,1,May 18 2015,Total,4,93
ARPO1,1,May 21 2019,Hardwood,1,83
ARPO1,1,May 21 2019,Hardwood,2,87
ARPO1,1,May 21 2019,Hardwood,3,85
ARPO1,1,May 21 2019,Hardwood,4,82
ARPO1,1,May 21 2019,Total,1,83
ARPO1,1,May 21 2019,Total,2,87
ARPO1,1,May 21 2019,Total,3,85
ARPO1,1,May 21 2019,Total,4,82
ARPO10,1,Jun  7 2007,Hardwood,1,96
ARPO10,1,Jun  7 2007,Hardwood,2,96
ARPO10,1,Jun  7 2007,Hardwood,3,78
ARPO10,1,Jun  7 2007,Hardwood,4,96
ARPO10,1,Jun  7 2007,Total,1,96
ARPO10,1,Jun  7 2007,Total,2,96
ARPO10,1,Jun  7 2007,Total,3,78
ARPO10,1,Jun  7 2007,Total,4,96
ARPO10,1,Jun  7 2011,Hardwood,1,82
ARPO10,1,Jun  7 2011,Hardwood,2,85
ARPO10,1,Jun  7 2011,Hardwood,3,90
ARPO10,1,Jun  7 2011,Hardwood,4,96
ARPO10,1,Jun  7 2011,Total,1,82
ARPO10,1,Jun  7 2011,Total,2,85
ARPO10,1,Jun  7 2011,Total,3,90
ARPO10,1,Jun  7 2011,Total,4,96
ARPO10,1,May 19 2015,Hardwood,1,96
ARPO10,1,May 19 2015,Hardwood,2,96
ARPO10,1,May 19 2015,Hardwood,3,96
ARPO10,1,May 19 2015,Hardwood,4,96
ARPO10,1,May 19 2015,Total,1,96
ARPO10,1,May 19 2015,Total,2,96
ARPO10,1,May 19 2015,Total,3,96
ARPO10,1,May 19 2015,Total,4,96
ARPO10,1,May 20 2019,Hardwood,1,75
ARPO10,1,May 20 2019,Hardwood,2,82
ARPO10,1,May 20 2019,Hardwood,3,89
ARPO10,1,May 20 2019,Hardwood,4,86
ARPO10,1,May 20 2019,Total,1,75
ARPO10,1,May 20 2019,Total,2,82
ARPO10,1,May 20 2019,Total,3,89
ARPO10,1,May 20 2019,Total,4,86
ARPO11,1,May 19 2015,Hardwood,1,4
ARPO11,1,May 19 2015,Hardwood,2,44
ARPO11,1,May 19 2015,Hardwood,3,56
ARPO11,1,May 19 2015,Hardwood,4,42
ARPO11,1,May 19 2015,Total,1,4
ARPO11,1,May 19 2015,Total,2,44
ARPO11,1,May 19 2015,Total,3,56
ARPO11,1,May 19 2015,Total,4,42
ARPO12,1,Jun  5 2007,Hardwood,1,96
ARPO12,1,Jun  5 2007,Hardwood,2,96
ARPO12,1,Jun  5 2007,Hardwood,3,90
ARPO12,1,Jun  5 2007,Hardwood,4,94
ARPO12,1,Jun  5 2007,Total,1,96
ARPO12,1,Jun  5 2007,Total,2,96
ARPO12,1,Jun  5 2007,Total,3,90
ARPO12,1,Jun  5 2007,Total,4,94
ARPO12,1,Jun  8 2011,Hardwood,1,90
ARPO12,1,Jun  8 2011,Hardwood,2,92
ARPO12,1,Jun  8 2011,Hardwood,3,88
ARPO12,1,Jun  8 2011,Hardwood,4,94
ARPO12,1,Jun  8 2011,Total,1,90
ARPO12,1,Jun  8 2011,Total,2,92
ARPO12,1,Jun  8 2011,Total,3,88
ARPO12,1,Jun  8 2011,Total,4,94
ARPO12,1,May 18 2015,Hardwood,1,95
ARPO12,1,May 18 2015,Hardwood,2,96
ARPO12,1,May 18 2015,Hardwood,3,94
ARPO12,1,May 18 2015,Hardwood,4,96
ARPO12,1,May 18 2015,Total,1,95
ARPO12,1,May 18 2015,Total,2,96
ARPO12,1,May 18 2015,Total,3,94
ARPO12,1,May 18 2015,Total,4,96
ARPO12,1,May 21 2019,Hardwood,1,88
ARPO12,1,May 21 2019,Hardwood,2,89
ARPO12,1,May 21 2019,Hardwood,3,85
ARPO12,1,May 21 2019,Hardwood,4,86
ARPO12,1,May 21 2019,Total,1,88
ARPO12,1,May 21 2019,Total,2,89
ARPO12,1,May 21 2019,Total,3,85
ARPO12,1,May 21 2019,Total,4,86
ARPO13,1,Jun  5 2007,Hardwood,1,92
ARPO13,1,Jun  5 2007,Hardwood,2,93
ARPO13,1,Jun  5 2007,Hardwood,3,86
ARPO13,1,Jun  5 2007,Hardwood,4,83
ARPO13,1,Jun  5 2007,Total,1,92
ARPO13,1,Jun  5 2007,Total,2,93
ARPO13,1,Jun  5 2007,Total,3,86
ARPO13,1,Jun  5 2007,Total,4,83
ARPO13,1,Jun  8 2011,Hardwood,1,96
ARPO13,1,Jun  8 2011,Hardwood,2,94
ARPO13,1,Jun  8 2011,Hardwood,3,94
