Plot,SubPlot,EventDate,CanopyType,CanopyHeight
ARPO1,1,Jun  5 2007,Hardwood,23
ARPO1,1,Jun  8 2011,Hardwood,22.4
ARPO1,1,May 18 2015,Hardwood,37
ARPO1,1,May 21 2019,Hardwood,30.5
ARPO1,1,May 21 2019,Conifer,0.5
ARPO10,1,Jun  7 2007,Hardwood,5
ARPO10,1,Jun  7 2011,Hardwood,13.1
ARPO10,1,May 19 2015,Hardwood,13.5
ARPO10,1,May 20 2019,Hardwood,13
ARPO10,1,May 20 2019,Conifer,0.4
ARPO11,1,May 19 2015,Hardwood,6
ARPO12,1,Jun  5 2007,Hardwood,8
ARPO12,1,Jun  8 2011,Hardwood,27.5
ARPO12,1,May 18 2015,Hardwood,40
ARPO12,1,May 21 2019,Hardwood,0
ARPO13,1,Jun  5 2007,Hardwood,32.5
ARPO13,1,Jun  8 2011,Hardwood,7.2
ARPO13,1,May 18 2015,Hardwood,39
ARPO13,1,May 21 2019,Hardwood,11.5
ARPO14,1,Jun  6 2007,Hardwood,28
ARPO14,1,Jun  8 2011,Hardwood,29
ARPO14,1,May 18 2015,Hardwood,30
ARPO14,1,May 21 2019,Hardwood,25.5
ARPO15,1,Jun  6 2007,Hardwood,4
ARPO15,1,Jun  8 2011,Hardwood,31.7
ARPO15,1,May 18 2015,Hardwood,44
ARPO15,1,May 21 2019,Hardwood,8
ARPO16,1,Jun  5 2007,Hardwood,32
ARPO16,1,Jun  8 2011,Hardwood,30.9
ARPO16,1,May 18 2015,Hardwood,33
ARPO16,1,May 21 2019,Hardwood,32
ARPO17,1,Jun  5 2007,Hardwood,30
ARPO17,1,Jun  8 2011,Hardwood,28.5
ARPO17,1,May 18 2015,Hardwood,40
ARPO17,1,May 21 2019,Hardwood,32.5
ARPO18,1,Jun  6 2007,Hardwood,14
ARPO18,1,Jun  8 2011,Hardwood,14
ARPO18,1,May 18 2015,Hardwood,22
ARPO18,1,May 20 2019,Hardwood,19.5
ARPO19,1,Jun  6 2007,Conifer,9
ARPO19,1,Jun  6 2007,Hardwood,17
ARPO19,1,Jun  8 2011,Hardwood,28.7
ARPO19,1,May 18 2015,Hardwood,35
ARPO19,1,May 21 2019,Hardwood,16.5
ARPO2,1,Jun  5 2007,Conifer,15
ARPO2,1,Jun  5 2007,Hardwood,21
ARPO2,1,Jun  8 2011,Conifer,11.8
ARPO2,1,Jun  8 2011,Hardwood,16.3
ARPO2,1,May 18 2015,Hardwood,30
ARPO2,1,May 21 2019,Hardwood,28.5
ARPO2,1,May 21 2019,Conifer,11
ARPO20,1,Jun  6 2007,Hardwood,5
ARPO20,1,Jun  8 2011,Hardwood,17.3
ARPO20,1,May 18 2015,Hardwood,22.5
ARPO20,1,May 21 2019,Hardwood,13.5
ARPO21,1,Jun  5 2007,Hardwood,3
ARPO21,1,Jun  8 2011,Hardwood,9.7
ARPO21,1,May 18 2015,Hardwood,14
ARPO21,1,May 20 2019,Hardwood,8
ARPO22,1,Jun  5 2007,Hardwood,30
ARPO22,1,Jun  8 2011,Hardwood,21.7
ARPO22,1,May 18 2015,Hardwood,24
ARPO22,1,May 21 2019,Hardwood,22
ARPO22,1,May 21 2019,Conifer,0.5
ARPO23,1,Jun  6 2007,Conifer,10.5
ARPO23,1,Jun  6 2007,Hardwood,12.5
ARPO23,1,Jun  8 2011,Conifer,12.9
ARPO23,1,Jun  8 2011,Hardwood,13.6
ARPO23,1,May 18 2015,Conifer,30
ARPO23,1,May 20 2019,Hardwood,14
ARPO23,1,May 20 2019,Conifer,24.5
ARPO24,1,Jun  5 2007,Hardwood,14
ARPO24,1,Jun  8 2011,Hardwood,28.4
ARPO24,1,May 18 2015,Hardwood,29
ARPO24,1,May 21 2019,Hardwood,23.5
ARPO25,1,Jun  6 2007,Hardwood,22
ARPO25,1,Jun  8 2011,Conifer,9.5
ARPO25,1,Jun  8 2011,Hardwood,21.9
ARPO25,1,May 18 2015,Hardwood,23
ARPO26,1,Jun  5 2007,Hardwood,32
ARPO26,1,Jun  7 2011,Conifer,5.9
ARPO26,1,Jun  7 2011,Hardwood,26.8
ARPO26,1,May 18 2015,Hardwood,29
ARPO27,1,Jun  5 2007,Hardwood,28
ARPO27,1,Jun  7 2011,Hardwood,16.9
ARPO27,1,May 18 2015,Hardwood,30
ARPO27,1,May 20 2019,Hardwood,28.5
ARPO28,1,Jun  7 2007,Hardwood,7
ARPO28,1,May 19 2015,Hardwood,25
ARPO29,1,May 19 2015,Hardwood,4
ARPO3,1,Jun  5 2007,Hardwood,19
ARPO3,1,Jun  8 2011,Hardwood,34
ARPO3,1,May 18 2015,Hardwood,40
ARPO3,1,May 21 2019,Hardwood,38.5
ARPO30,1,Jun  7 2007,Hardwood,12
ARPO30,1,Jun  7 2011,Hardwood,26
ARPO30,1,May 19 2015,Hardwood,32.5
ARPO30,1,May 20 2019,Hardwood,31
