Plot,ParkCode,ParkName,HabitatType,Slope,SlopeVariability,Aspect,AspectVariability,InRiparianCorridor
AGFO1,AGFO,Agate Fossil Beds,prairie,2,medium,165,medium,0
AGFO10,AGFO,Agate Fossil Beds,prairie,1,low,335,medium,0
AGFO11,AGFO,Agate Fossil Beds,prairie,2,medium,300,high,0
AGFO12,AGFO,Agate Fossil Beds,prairie,4,medium,327,medium,0
AGFO13,AGFO,Agate Fossil Beds,prairie,6,low,31,low,0
AGFO14,AGFO,Agate Fossil Beds,prairie,4,medium,310,high,0
AGFO15,AGFO,Agate Fossil Beds,prairie,2,medium,310,high,0
AGFO16,AGFO,Agate Fossil Beds,prairie,1,low,355,medium,0
AGFO17,AGFO,Agate Fossil Beds,riparian,1,low,335,medium,1
AGFO18,AGFO,Agate Fossil Beds,riparian,3,medium,0,low,1
AGFO19,AGFO,Agate Fossil Beds,riparian,2,low,317,low,1
AGFO2,AGFO,Agate Fossil Beds,prairie,15,high,45,high,0
AGFO20,AGFO,Agate Fossil Beds,riparian,0,low,135,low,1
AGFO21,AGFO,Agate Fossil Beds,riparian,0,low,85,low,1
AGFO22,AGFO,Agate Fossil Beds,riparian,1,low,155,low,1
AGFO23,AGFO,Agate Fossil Beds,riparian,2,medium,300,high,1
AGFO24,AGFO,Agate Fossil Beds,riparian,0,low,97,low,1
AGFO25,AGFO,Agate Fossil Beds,riparian,0,medium,104,medium,1
AGFO26,AGFO,Agate Fossil Beds,riparian,2,low,289,low,1
AGFO27,AGFO,Agate Fossil Beds,riparian,0,low,105,low,1
AGFO28,AGFO,Agate Fossil Beds,riparian,0,low,120,low,1
AGFO29,AGFO,Agate Fossil Beds,riparian,1,low,10,low,1
AGFO3,AGFO,Agate Fossil Beds,prairie,15,high,240,high,0
AGFO30,AGFO,Agate Fossil Beds,riparian,1,low,32,low,1
AGFO31,AGFO,Agate Fossil Beds,prairie,2,low,130,medium,0
AGFO32,AGFO,Agate Fossil Beds,prairie,5,medium,85,high,0
AGFO33,AGFO,Agate Fossil Beds,prairie,5,medium,125,medium,0
AGFO34,AGFO,Agate Fossil Beds,prairie,1,low,90,low,0
AGFO35,AGFO,Agate Fossil Beds,prairie,4,medium,198,medium,0
AGFO36,AGFO,Agate Fossil Beds,prairie,2,medium,97,medium,0
AGFO37,AGFO,Agate Fossil Beds,prairie,3,low,171,medium,0
AGFO38,AGFO,Agate Fossil Beds,prairie,4,low,122,low,0
AGFO39,AGFO,Agate Fossil Beds,prairie,1,low,155,low,0
AGFO4,AGFO,Agate Fossil Beds,prairie,5,medium,355,high,0
AGFO40,AGFO,Agate Fossil Beds,prairie,6,low,153,medium,0
AGFO41,AGFO,Agate Fossil Beds,prairie,5,low,122,medium,0
AGFO42,AGFO,Agate Fossil Beds,prairie,8,medium,150,medium,0
