Plot,SubPlot,EventDate,TaxonCode,CommonName,DBHClass,TreeCount
ARPO1,1,Jun  5 2007,QUFA,southern red oak,15.1 - 23.0 cm,1
ARPO1,1,Jun  5 2007,QUFA,southern red oak,> 38.0 cm,1
ARPO1,1,Jun  8 2011,CAAM2,American beautyberry,< 1.0 cm,10
ARPO1,1,Jun  8 2011,QUST,post oak,15.1 - 23.0 cm,1
ARPO1,1,Jun  8 2011,QUST,post oak,> 38.0 cm,1
ARPO1,1,Jun  8 2011,ULAL,winged elm,< 1.0 cm,1
ARPO1,1,May 18 2015,CAAM2,American beautyberry,< 1.0 cm,10
ARPO1,1,May 18 2015,CAAM2,American beautyberry,1.1 - 2.5 cm,10
ARPO1,1,May 18 2015,QUFA,southern red oak,> 38.0 cm,1
ARPO1,1,May 18 2015,QUST,post oak,< 1.0 cm,4
ARPO1,1,May 18 2015,QUST,post oak,1.1 - 2.5 cm,4
ARPO1,1,May 18 2015,QUST,post oak,> 38.0 cm,2
ARPO1,1,May 18 2015,SNAG,snag,8.1 - 15.0 cm,1
ARPO1,1,May 18 2015,ULAL,winged elm,< 1.0 cm,4
ARPO1,1,May 18 2015,ULAL,winged elm,1.1 - 2.5 cm,4
ARPO1,1,May 21 2019,ARALI,devil's walking-sticks,1.1 - 2.5 cm,1
ARPO1,1,May 21 2019,QUERC,oak,2.6 - 8.0 cm,1
ARPO1,1,May 21 2019,QUERC,oak,> 38.0 cm,2
ARPO1,1,May 21 2019,SNAG,snag,15.1 - 23.0 cm,1
ARPO1,1,May 21 2019,ULMUS,elm,< 1.0 cm,12
ARPO1,1,May 21 2019,ULMUS,elm,1.1 - 2.5 cm,4
ARPO1,1,May 21 2019,ULMUS,elm,2.6 - 8.0 cm,1
ARPO10,1,Jun  7 2007,GLTR,honeylocust,1.1 - 2.5 cm,5
ARPO10,1,Jun  7 2007,GLTR,honeylocust,2.6 - 8.0 cm,1
ARPO10,1,Jun  7 2007,GLTR,honeylocust,8.1 - 15.0 cm,1
ARPO10,1,Jun  7 2007,GLTR,honeylocust,15.1 - 23.0 cm,2
ARPO10,1,Jun  7 2007,LIVU,European privet,1.1 - 2.5 cm,3
ARPO10,1,Jun  7 2007,LIVU,European privet,2.6 - 8.0 cm,6
ARPO10,1,Jun  7 2007,LIVU,European privet,8.1 - 15.0 cm,2
ARPO10,1,Jun  7 2011,CETE,dwarf hackberry,2.6 - 8.0 cm,4
ARPO10,1,Jun  7 2011,COFL,flowering dogwood,1.1 - 2.5 cm,1
ARPO10,1,Jun  7 2011,COFL,flowering dogwood,2.6 - 8.0 cm,5
ARPO10,1,Jun  7 2011,GLTR,honeylocust,2.6 - 8.0 cm,1
ARPO10,1,Jun  7 2011,GLTR,honeylocust,8.1 - 15.0 cm,1
ARPO10,1,Jun  7 2011,GLTR,honeylocust,15.1 - 23.0 cm,2
ARPO10,1,Jun  7 2011,QUNI,water oak,2.6 - 8.0 cm,1
ARPO10,1,Jun  7 2011,ULAL,winged elm,1.1 - 2.5 cm,3
ARPO10,1,Jun  7 2011,ULAL,winged elm,2.6 - 8.0 cm,4
ARPO10,1,Jun  7 2011,ULAL,winged elm,8.1 - 15.0 cm,1
ARPO10,1,Jun  7 2011,ULAM,American elm,8.1 - 15.0 cm,1
ARPO10,1,May 19 2015,CELA,sugarberry,2.6 - 8.0 cm,4
