Plot,EventDate,ContactName
AGFO1,Jun  4 2003,JTC
AGFO1,Jun  4 2003,KEM
AGFO1,Jun  4 2003,LLA
AGFO1,Jun  6 2005,BAH
AGFO1,Jun  6 2005,DGP
AGFO1,Jun  6 2005,HJE
AGFO1,Jun  6 2005,JLH
AGFO1,Jun  6 2006,BAH
AGFO1,Jun  6 2006,HJE
AGFO1,Jun  6 2006,JTC
AGFO1,Jun  8 2004,KEM
AGFO1,Jun  8 2004,KSH
AGFO1,Jun  8 2004,PLB
AGFO1,May  7 2001,BDW
AGFO1,May  7 2001,DGP
AGFO1,May  7 2001,KEM
AGFO10,Jun  3 2003,DGP
AGFO10,Jun  3 2003,JTC
AGFO10,Jun  3 2003,KEM
AGFO10,Jun  3 2003,LLA
AGFO10,Jun  7 2004,KEM
AGFO10,Jun  7 2004,KSH
AGFO10,Jun  7 2004,PLB
AGFO10,Jun  7 2005,BAH
AGFO10,Jun  7 2005,DGP
AGFO10,Jun  7 2005,HJE
AGFO10,Jun  7 2005,JLH
AGFO10,Jun  7 2006,BAH
AGFO10,Jun  7 2006,HJE
AGFO10,Jun  7 2006,JTC
AGFO10,May  8 2001,BDW
AGFO10,May  8 2001,DGP
AGFO10,May  8 2001,KEM
AGFO11,Jun  3 2003,DGP
AGFO11,Jun  3 2003,JTC
AGFO11,Jun  3 2003,KEM
AGFO11,Jun  3 2003,LLA
AGFO11,Jun  7 2004,DGP
AGFO11,Jun  7 2004,KEM
AGFO11,Jun  7 2004,KSH
AGFO11,Jun  7 2004,PLB
AGFO11,Jun  7 2005,BAH
AGFO11,Jun  7 2005,DGP
AGFO11,Jun  7 2005,HJE
AGFO11,Jun  7 2005,JLH
AGFO11,Jun  7 2006,BAH
AGFO11,Jun  7 2006,HJE
AGFO11,Jun  7 2006,JTC
AGFO11,May  8 2001,BDW
AGFO11,May  8 2001,DGP
AGFO11,May  8 2001,KEM
AGFO12,Jun  3 2003,DGP
AGFO12,Jun  3 2003,JTC
AGFO12,Jun  3 2003,KEM
AGFO12,Jun  3 2003,LLA
AGFO12,Jun  7 2004,KEM
AGFO12,Jun  7 2004,KSH
AGFO12,Jun  7 2004,PLB
AGFO12,Jun  7 2005,BAH
AGFO12,Jun  7 2005,HJE
AGFO12,Jun  7 2005,JLH
AGFO12,Jun  7 2006,BAH
AGFO12,Jun  7 2006,HJE
AGFO12,Jun  7 2006,JTC
AGFO12,May  8 2001,BDW
AGFO12,May  8 2001,DGP
AGFO12,May  8 2001,KEM
AGFO13,Jun  3 2003,JTC
AGFO13,Jun  3 2003,KEM
AGFO13,Jun  3 2003,LLA
AGFO13,Jun  7 2004,KEM
AGFO13,Jun  7 2004,KSH
AGFO13,Jun  7 2004,PLB
AGFO13,Jun  7 2005,BAH
AGFO13,Jun  7 2005,HJE
AGFO13,Jun  7 2005,JLH
AGFO13,Jun  7 2006,BAH
AGFO13,Jun  7 2006,HJE
AGFO13,Jun  7 2006,JTC
AGFO13,May  8 2001,BDW
AGFO13,May  8 2001,DGP
AGFO13,May  8 2001,KEM
AGFO14,Jun  3 2003,DGP
AGFO14,Jun  3 2003,JTC
AGFO14,Jun  3 2003,KEM
AGFO14,Jun  3 2003,LLA
AGFO14,Jun  7 2004,KEM
AGFO14,Jun  7 2004,KSH
AGFO14,Jun  7 2004,PLB
AGFO14,Jun  7 2005,BAH
AGFO14,Jun  7 2005,HJE
AGFO14,Jun  7 2005,JLH
AGFO14,Jun  7 2006,BAH
AGFO14,Jun  7 2006,HJE
AGFO14,Jun  7 2006,JTC
AGFO14,May  8 2001,BDW
AGFO14,May  8 2001,DGP
AGFO14,May  8 2001,KEM
AGFO15,Jun  5 2003,JTC
AGFO15,Jun  5 2003,KEM
AGFO15,Jun  5 2003,LLA
AGFO15,Jun  8 2005,BAH
AGFO15,Jun  8 2005,HJE
AGFO15,Jun  8 2005,JLH
AGFO15,Jun  8 2006,BAH
AGFO15,Jun  8 2006,HJE
AGFO15,Jun  8 2006,JTC
AGFO15,Jun  9 2004,DGP
AGFO15,Jun  9 2004,KEM
AGFO15,Jun  9 2004,KSH
AGFO15,Jun  9 2004,PLB
AGFO16,Jun  5 2003,JTC
AGFO16,Jun  5 2003,KEM
AGFO16,Jun  5 2003,LLA
AGFO16,Jun  8 2005,BAH
AGFO16,Jun  8 2005,HJE
AGFO16,Jun  8 2005,JLH
AGFO16,Jun  8 2006,BAH
AGFO16,Jun  8 2006,HJE
