Plot,EventDate,SubPlot
AGFO1,Jun  4 2003,1
AGFO1,Jun  6 2005,1
AGFO1,Jun  6 2006,1
AGFO1,Jun  8 2004,1
AGFO1,May  7 2001,1
AGFO1,Jun  4 2003,2
AGFO1,Jun  6 2005,2
AGFO1,Jun  6 2006,2
AGFO1,Jun  8 2004,2
AGFO1,May  7 2001,2
AGFO1,Jun  4 2003,3
AGFO1,Jun  6 2005,3
AGFO1,Jun  6 2006,3
AGFO1,Jun  8 2004,3
AGFO1,May  7 2001,3
AGFO1,Jun  4 2003,4
AGFO1,Jun  6 2005,4
AGFO1,Jun  6 2006,4
AGFO1,Jun  8 2004,4
AGFO1,May  7 2001,4
AGFO10,Jun  3 2003,1
AGFO10,Jun  7 2004,1
AGFO10,Jun  7 2005,1
AGFO10,Jun  7 2006,1
AGFO10,May  8 2001,1
AGFO10,Jun  3 2003,2
AGFO10,Jun  7 2004,2
AGFO10,Jun  7 2005,2
AGFO10,Jun  7 2006,2
AGFO10,May  8 2001,2
AGFO10,Jun  3 2003,3
AGFO10,Jun  7 2004,3
AGFO10,Jun  7 2005,3
AGFO10,Jun  7 2006,3
AGFO10,May  8 2001,3
AGFO10,Jun  3 2003,4
AGFO10,Jun  7 2004,4
AGFO10,Jun  7 2005,4
AGFO10,Jun  7 2006,4
AGFO10,May  8 2001,4
AGFO11,Jun  3 2003,1
AGFO11,Jun  7 2004,1
AGFO11,Jun  7 2005,1
AGFO11,Jun  7 2006,1
AGFO11,May  8 2001,1
AGFO11,Jun  3 2003,2
AGFO11,Jun  7 2004,2
AGFO11,Jun  7 2005,2
AGFO11,Jun  7 2006,2
AGFO11,May  8 2001,2
AGFO11,Jun  3 2003,3
AGFO11,Jun  7 2004,3
AGFO11,Jun  7 2005,3
AGFO11,Jun  7 2006,3
AGFO11,May  8 2001,3
AGFO11,Jun  3 2003,4
AGFO11,Jun  7 2004,4
AGFO11,Jun  7 2005,4
AGFO11,Jun  7 2006,4
AGFO11,May  8 2001,4
AGFO12,Jun  3 2003,1
AGFO12,Jun  7 2004,1
AGFO12,Jun  7 2005,1
AGFO12,Jun  7 2006,1
AGFO12,May  8 2001,1
AGFO12,Jun  3 2003,2
AGFO12,Jun  7 2004,2
AGFO12,Jun  7 2005,2
AGFO12,Jun  7 2006,2
AGFO12,May  8 2001,2
AGFO12,Jun  3 2003,3
AGFO12,Jun  7 2004,3
AGFO12,Jun  7 2005,3
AGFO12,Jun  7 2006,3
AGFO12,May  8 2001,3
AGFO12,Jun  3 2003,4
AGFO12,Jun  7 2004,4
AGFO12,Jun  7 2005,4
AGFO12,Jun  7 2006,4
AGFO12,May  8 2001,4
AGFO13,Jun  3 2003,1
AGFO13,Jun  7 2004,1
AGFO13,Jun  7 2005,1
AGFO13,Jun  7 2006,1
AGFO13,May  8 2001,1
AGFO13,Jun  3 2003,2
AGFO13,Jun  7 2004,2
AGFO13,Jun  7 2005,2
AGFO13,Jun  7 2006,2
AGFO13,May  8 2001,2
AGFO13,Jun  3 2003,3
AGFO13,Jun  7 2004,3
AGFO13,Jun  7 2005,3
AGFO13,Jun  7 2006,3
AGFO13,May  8 2001,3
AGFO13,Jun  3 2003,4
AGFO13,Jun  7 2004,4
AGFO13,Jun  7 2005,4
AGFO13,Jun  7 2006,4
AGFO13,May  8 2001,4
AGFO14,Jun  3 2003,1
AGFO14,Jun  7 2004,1
AGFO14,Jun  7 2005,1
AGFO14,Jun  7 2006,1
AGFO14,May  8 2001,1
AGFO14,Jun  3 2003,2
AGFO14,Jun  7 2004,2
AGFO14,Jun  7 2005,2
AGFO14,Jun  7 2006,2
AGFO14,May  8 2001,2
AGFO14,Jun  3 2003,3
AGFO14,Jun  7 2004,3
AGFO14,Jun  7 2005,3
AGFO14,Jun  7 2006,3
AGFO14,May  8 2001,3
AGFO14,Jun  3 2003,4
AGFO14,Jun  7 2004,4
AGFO14,Jun  7 2005,4
AGFO14,Jun  7 2006,4
AGFO14,May  8 2001,4
AGFO15,Jun  5 2003,1
AGFO15,Jun  8 2005,1
AGFO15,Jun  8 2006,1
AGFO15,Jun  9 2004,1
AGFO15,Jun  5 2003,2
AGFO15,Jun  8 2005,2
AGFO15,Jun  8 2006,2
AGFO15,Jun  9 2004,2
AGFO15,Jun  5 2003,3
AGFO15,Jun  8 2005,3
AGFO15,Jun  8 2006,3
AGFO15,Jun  9 2004,3
AGFO15,Jun  5 2003,4
AGFO15,Jun  8 2005,4
AGFO15,Jun  8 2006,4
AGFO15,Jun  9 2004,4
AGFO16,Jun  5 2003,1
AGFO16,Jun  8 2005,1
AGFO16,Jun  8 2006,1
AGFO16,Jun  9 2004,1
AGFO16,Jun  5 2003,2
AGFO16,Jun  8 2005,2
AGFO16,Jun  8 2006,2
AGFO16,Jun  9 2004,2
AGFO16,Jun  5 2003,3
AGFO16,Jun  8 2005,3
AGFO16,Jun  8 2006,3
AGFO16,Jun  9 2004,3
AGFO16,Jun  5 2003,4
AGFO16,Jun  8 2005,4
AGFO16,Jun  8 2006,4
AGFO16,Jun  9 2004,4
AGFO17,Jun  3 2003,1
AGFO17,Jun  7 2004,1
AGFO17,Jun  7 2005,1
AGFO17,Jun  7 2006,1
AGFO17,May  8 2001,1
AGFO17,Jun  3 2003,2
AGFO17,Jun  7 2004,2
AGFO17,Jun  7 2005,2
AGFO17,Jun  7 2006,2
AGFO17,May  8 2001,2
AGFO17,Jun  3 2003,3
AGFO17,Jun  7 2004,3
AGFO17,Jun  7 2005,3
AGFO17,Jun  7 2006,3
AGFO17,May  8 2001,3
AGFO17,Jun  3 2003,4
AGFO17,Jun  7 2004,4
AGFO17,Jun  7 2005,4
AGFO17,Jun  7 2006,4
AGFO17,May  8 2001,4
AGFO18,Jun  3 2003,1
AGFO18,Jun  7 2004,1
AGFO18,Jun  7 2005,1
AGFO18,Jun  7 2006,1
AGFO18,May  8 2001,1
AGFO18,Jun  3 2003,2
AGFO18,Jun  7 2004,2
AGFO18,Jun  7 2005,2
AGFO18,Jun  7 2006,2
AGFO18,May  8 2001,2
AGFO18,Jun  3 2003,3
AGFO18,Jun  7 2004,3
AGFO18,Jun  7 2005,3
AGFO18,Jun  7 2006,3
AGFO18,May  8 2001,3
AGFO18,Jun  3 2003,4
AGFO18,Jun  7 2004,4
AGFO18,Jun  7 2005,4
AGFO18,Jun  7 2006,4
AGFO18,May  8 2001,4
AGFO19,Jun  5 2003,1
AGFO19,Jun  7 2004,1
AGFO19,Jun  7 2005,1
AGFO19,Jun  7 2006,1
AGFO19,May  8 2001,1
AGFO19,Jun  5 2003,2
AGFO19,Jun  7 2004,2
AGFO19,Jun  7 2005,2
AGFO19,Jun  7 2006,2
AGFO19,May  8 2001,2
AGFO19,Jun  5 2003,3
AGFO19,Jun  7 2004,3
AGFO19,Jun  7 2005,3
AGFO19,Jun  7 2006,3
AGFO19,May  8 2001,3
AGFO19,Jun  5 2003,4
AGFO19,Jun  7 2004,4
AGFO19,Jun  7 2005,4
AGFO19,Jun  7 2006,4
AGFO19,May  8 2001,4
AGFO2,Jun  4 2003,1
AGFO2,Jun  6 2005,1
AGFO2,Jun  6 2006,1
AGFO2,Jun  8 2004,1
AGFO2,May  8 2001,1
AGFO2,Jun  4 2003,2
AGFO2,Jun  6 2005,2
AGFO2,Jun  6 2006,2
AGFO2,Jun  8 2004,2
AGFO2,May  8 2001,2
AGFO2,Jun  4 2003,3
AGFO2,Jun  6 2005,3
AGFO2,Jun  6 2006,3
AGFO2,Jun  8 2004,3
AGFO2,May  8 2001,3
AGFO2,Jun  4 2003,4
AGFO2,Jun  6 2005,4
AGFO2,Jun  6 2006,4
AGFO2,Jun  8 2004,4
AGFO2,May  8 2001,4
AGFO20,Jun  5 2003,1
AGFO20,Jun  7 2004,1
AGFO20,Jun  7 2005,1
AGFO20,Jun  7 2006,1
AGFO20,May  8 2001,1
AGFO20,Jun  5 2003,2
AGFO20,Jun  7 2004,2
AGFO20,Jun  7 2005,2
AGFO20,Jun  7 2006,2
AGFO20,May  8 2001,2
AGFO20,Jun  5 2003,3
AGFO20,Jun  7 2004,3
AGFO20,Jun  7 2005,3
AGFO20,Jun  7 2006,3
AGFO20,May  8 2001,3
AGFO20,Jun  5 2003,4
AGFO20,Jun  7 2004,4
AGFO20,Jun  7 2005,4
AGFO20,Jun  7 2006,4
AGFO20,May  8 2001,4
AGFO21,Jun  5 2003,1
AGFO21,Jun  7 2006,1
AGFO21,Jun  8 2005,1
AGFO21,Jun  9 2004,1
AGFO21,May  9 2001,1
AGFO21,Jun  5 2003,2
AGFO21,Jun  7 2006,2
AGFO21,Jun  8 2005,2
AGFO21,Jun  9 2004,2
AGFO21,May  9 2001,2
AGFO21,Jun  5 2003,3
AGFO21,Jun  7 2006,3
AGFO21,Jun  8 2005,3
AGFO21,Jun  9 2004,3
AGFO21,May  9 2001,3
AGFO21,Jun  5 2003,4
AGFO21,Jun  7 2006,4
AGFO21,Jun  8 2005,4
AGFO21,Jun  9 2004,4
AGFO21,May  9 2001,4
AGFO22,Jun  5 2003,1
AGFO22,Jun  7 2006,1
AGFO22,Jun  8 2005,1
AGFO22,Jun  9 2004,1
AGFO22,May 10 2001,1
