Plot,SubPlot,EventDate,Height,Vegetation,Count
AGFO1,1,Jun  4 2003,0 - 1 m,Herbaceous,4
AGFO1,1,Jun  6 2005,0 - 1 m,Herbaceous,4
AGFO1,1,Jun  6 2006,0 - 1 m,Herbaceous,4
AGFO1,1,Jun  8 2004,0 - 1 m,Herbaceous,3
AGFO1,1,May  7 2001,0 - 1 m,Herbaceous,2
AGFO1,2,Jun  4 2003,0 - 1 m,Herbaceous,3
AGFO1,2,Jun  6 2005,0 - 1 m,Herbaceous,3
AGFO1,2,Jun  6 2006,0 - 1 m,Herbaceous,3
AGFO1,2,Jun  8 2004,0 - 1 m,Herbaceous,3
AGFO1,2,May  7 2001,0 - 1 m,Herbaceous,1
AGFO1,3,Jun  4 2003,0 - 1 m,Herbaceous,2
AGFO1,3,Jun  6 2005,0 - 1 m,Herbaceous,4
AGFO1,3,Jun  6 2006,0 - 1 m,Herbaceous,4
AGFO1,3,Jun  8 2004,0 - 1 m,Herbaceous,2
AGFO1,3,May  7 2001,0 - 1 m,Herbaceous,3
AGFO1,4,Jun  4 2003,0 - 1 m,Herbaceous,2
AGFO1,4,Jun  6 2005,0 - 1 m,Herbaceous,4
AGFO1,4,Jun  6 2006,0 - 1 m,Herbaceous,3
AGFO1,4,Jun  8 2004,0 - 1 m,Herbaceous,4
AGFO1,4,May  7 2001,0 - 1 m,Herbaceous,3
AGFO10,1,Jun  3 2003,0 - 1 m,Herbaceous,3
AGFO10,1,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO10,1,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO10,1,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO10,1,May  8 2001,0 - 1 m,Herbaceous,4
AGFO10,2,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO10,2,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO10,2,Jun  7 2005,0 - 1 m,Herbaceous,3
AGFO10,2,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO10,2,May  8 2001,0 - 1 m,Herbaceous,2
AGFO10,3,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO10,3,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO10,3,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO10,3,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO10,3,May  8 2001,0 - 1 m,Herbaceous,3
AGFO10,4,Jun  3 2003,0 - 1 m,Herbaceous,3
AGFO10,4,Jun  7 2004,0 - 1 m,Herbaceous,3
AGFO10,4,Jun  7 2005,0 - 1 m,Deciduous,1
AGFO10,4,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO10,4,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO10,4,May  8 2001,0 - 1 m,Herbaceous,2
AGFO11,1,Jun  3 2003,0 - 1 m,Herbaceous,2
AGFO11,1,Jun  7 2004,0 - 1 m,Herbaceous,3
AGFO11,1,Jun  7 2005,0 - 1 m,Herbaceous,3
AGFO11,1,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO11,1,May  8 2001,0 - 1 m,Herbaceous,2
AGFO11,2,Jun  3 2003,0 - 1 m,Herbaceous,2
AGFO11,2,Jun  7 2004,0 - 1 m,Herbaceous,2
AGFO11,2,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO11,2,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO11,2,May  8 2001,0 - 1 m,Herbaceous,2
AGFO11,3,Jun  3 2003,0 - 1 m,Herbaceous,2
AGFO11,3,Jun  7 2004,0 - 1 m,Herbaceous,2
AGFO11,3,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO11,3,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO11,3,May  8 2001,0 - 1 m,Herbaceous,3
AGFO11,4,Jun  3 2003,0 - 1 m,Herbaceous,1
AGFO11,4,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO11,4,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO11,4,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO11,4,May  8 2001,0 - 1 m,Herbaceous,2
AGFO12,1,Jun  3 2003,0 - 1 m,Herbaceous,3
AGFO12,1,Jun  7 2004,0 - 1 m,Herbaceous,3
AGFO12,1,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO12,1,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO12,1,May  8 2001,0 - 1 m,Herbaceous,3
AGFO12,2,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO12,2,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO12,2,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO12,2,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO12,2,May  8 2001,0 - 1 m,Herbaceous,4
AGFO12,3,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO12,3,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO12,3,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO12,3,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO12,3,May  8 2001,0 - 1 m,Herbaceous,2
AGFO12,4,Jun  3 2003,0 - 1 m,Herbaceous,2
AGFO12,4,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO12,4,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO12,4,Jun  7 2006,0 - 1 m,Deciduous,1
AGFO12,4,Jun  7 2006,0 - 1 m,Herbaceous,3
AGFO12,4,May  8 2001,0 - 1 m,Herbaceous,4
AGFO13,1,Jun  3 2003,0 - 1 m,Herbaceous,2
AGFO13,1,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO13,1,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO13,1,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO13,1,May  8 2001,0 - 1 m,Herbaceous,2
AGFO13,2,Jun  3 2003,0 - 1 m,Herbaceous,4
AGFO13,2,Jun  7 2004,0 - 1 m,Herbaceous,3
AGFO13,2,Jun  7 2005,0 - 1 m,Herbaceous,3
AGFO13,2,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO13,2,May  8 2001,0 - 1 m,Herbaceous,1
AGFO13,3,Jun  3 2003,0 - 1 m,Herbaceous,1
AGFO13,3,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO13,3,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO13,3,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO13,3,May  8 2001,0 - 1 m,Herbaceous,2
AGFO13,4,Jun  3 2003,0 - 1 m,Herbaceous,1
AGFO13,4,Jun  7 2004,0 - 1 m,Herbaceous,3
AGFO13,4,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO13,4,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO13,4,May  8 2001,0 - 1 m,Herbaceous,2
AGFO14,1,Jun  3 2003,0 - 1 m,Herbaceous,1
AGFO14,1,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO14,1,Jun  7 2006,0 - 1 m,Herbaceous,4
AGFO14,1,May  8 2001,0 - 1 m,Herbaceous,4
AGFO14,2,Jun  3 2003,0 - 1 m,Herbaceous,1
AGFO14,2,Jun  7 2004,0 - 1 m,Herbaceous,4
AGFO14,2,Jun  7 2005,0 - 1 m,Deciduous,1
AGFO14,2,Jun  7 2005,0 - 1 m,Herbaceous,4
AGFO14,2,Jun  7 2006,0 - 1 m,Herbaceous,3
