attributeName	code	definition
CovClass	1	
CovClass	2	
CovClass	3	
CovClass	4	
CovClass	5	
CovClass	6	
CovClass	7	
Range	1 - 5%	
Range	25 - 50%	
Range	5 - 25%	
Range	50 - 75%	
Range	75 - 95%	
Range	95 - 100%	
Range	trace - 1%	
VegType	Brome Field	
VegType	Corn Field	
VegType	Disturbed Floodplain	
VegType	Disturbed Prairie	
VegType	Drainage	
VegType	Fescue/Orchard Grass	
VegType	Field/Prairie	
VegType	Floodplain	
VegType	Highway Right of Way	
VegType	Intermittent Water Cover	
VegType	Lawn	
VegType	Old Field	
VegType	Open Woodland	
VegType	Other	
VegType	Parking Lot	
VegType	Pasture Road	
VegType	Paved Road	
VegType	Pond	
VegType	Railroad Tracks	
VegType	Restored Prairie	
VegType	Riparian Prairie	
VegType	Riparian Woodland	
VegType	River Terraces	
VegType	Seep	
VegType	Shrub	
VegType	Soybean Field	
VegType	Stream	
VegType	Trail	
VegType	Tree Line	
VegType	Upland Prairie	
VegType	Western Wheatgrass	
VegType	Wetland	
VegType	Woodland	
VegType	Woodland Swamp	
