ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,EventComments,ChannelType,ChannelTypeDescr,TransectNumber,SampleLocation,SampleLocationDescr,tbl_BankMeasurementInfo_Season,BankAngle,BankAngleDescr,BankVegCover,BankVegCoverDescr,BankHeight,BankHeightDescr,BankSubstrate,BankSubstrateDescr,LargeTrees_TR,SmTreesShrubs_SH,GrassForbes_GR,BareRockSediment_BA,Artificial_AR,Comment
Buffalo National River,BUFF,BUFFRMFISHBM01,1,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00,6/12/2006 0:00,BUFFRMFISH2006MAY23,5/23/2006 0:00,5/23/2006 0:00,,main,The channel that contains the majority of flow,1,L,Left,2006,3,>60 degrees,2,50-80%,5,>4 meter,2,Boulder/cobble,0,-1,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,1,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00,6/12/2006 0:00,BUFFRMFISH2006MAY23,5/23/2006 0:00,5/23/2006 0:00,,main,The channel that contains the majority of flow,1,R,Right,2006,3,>60 degrees,1,>80%,5,>4 meter,2,Boulder/cobble,-1,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,1,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00,6/12/2006 0:00,BUFFRMFISH2006MAY23,5/23/2006 0:00,5/23/2006 0:00,,main,The channel that contains the majority of flow,2,L,Left,2006,3,>60 degrees,4,<20%,5,>4 meter,2,Boulder/cobble,0,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,1,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00,6/12/2006 0:00,BUFFRMFISH2006MAY23,5/23/2006 0:00,5/23/2006 0:00,,main,The channel that contains the majority of flow,2,R,Right,2006,1,0-30 degrees,1,>80%,2,1.1-2 meter,2,Boulder/cobble,-1,0,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,1,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00,6/12/2006 0:00,BUFFRMFISH2006MAY23,5/23/2006 0:00,5/23/2006 0:00,,main,The channel that contains the majority of flow,3,L,Left,2006,3,>60 degrees,1,>80%,5,>4 meter,2,Boulder/cobble,0,-1,0,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,1,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00,6/12/2006 0:00,BUFFRMFISH2006MAY23,5/23/2006 0:00,5/23/2006 0:00,,main,The channel that contains the majority of flow,3,R,Right,2006,2,31-60 degrees,1,>80%,4,3.1-4 meter,2,Boulder/cobble,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,1,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00,6/12/2006 0:00,BUFFRMFISH2006MAY23,5/23/2006 0:00,5/23/2006 0:00,,main,The channel that contains the majority of flow,4,L,Left,2006,2,31-60 degrees,3,20-49%,3,2.1-3 meter,2,Boulder/cobble,0,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,1,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00,6/12/2006 0:00,BUFFRMFISH2006MAY23,5/23/2006 0:00,5/23/2006 0:00,,main,The channel that contains the majority of flow,4,R,Right,2006,1,0-30 degrees,2,50-80%,2,1.1-2 meter,5,Silt,-1,0,-1,0,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,1,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00,6/12/2006 0:00,BUFFRMFISH2006MAY23,5/23/2006 0:00,5/23/2006 0:00,,main,The channel that contains the majority of flow,5,L,Left,2006,1,0-30 degrees,2,50-80%,1,0-1 meter,2,Boulder/cobble,0,0,0,-1,0,
Buffalo National River,BUFF,BUFFRMFISHBM01,1,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00,6/12/2006 0:00,BUFFRMFISH2006MAY23,5/23/2006 0:00,5/23/2006 0:00,,main,The channel that contains the majority of flow,5,R,Right,2006,3,>60 degrees,1,>80%,2,1.1-2 meter,2,Boulder/cobble,0,-1,-1,0,0,
