ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,EventComments,ChannelType,ChannelTypeDescr,SiteNumber,TransectNumber,SampleLocation,SampleLocationDescr,ChannelUnit,ChannelUnitDescr,PoolForm,Width_m,Depth_cm,Velocity_ms,DomSubstrate,WentworthSubstrateDescr,WentworthMidpoint,Embeddedness,EmbedCanCoverDescrb,ECC_MidpoinValueb,CanopyCover,EmbedCanCoverDescr,ECC_MidpoinValue,Comment
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY23,5/23/2006 0:00:00,5/23/2006 0:00:00,,main,The channel that contains the majority of flow,1,11,R,Right,PO,Pool,M,33.00,85,0.02,15,45-64 mm,54.50,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,The channel that contains the majority of flow,1,2,L,Left,RI,Riffle,N/A,20.00,42,0.44,18,128-180 mm,154.00,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,The channel that contains the majority of flow,1,11,R,Right,PO,Pool,M,34.00,80,0.07,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,side channel,The channel that contains the lesser amount of flow,1,5,M,Middle,RI,Riffle,N/A,5.00,2,0.03,16,64-90 mm,77.00,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,The channel that contains the majority of flow,1,1,L,Left,RRX,Riffle-Run Complex,N/A,24.00,50,0.34,14,32-45 mm,38.50,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,The channel that contains the majority of flow,1,6,R,Right,GL,Glide,N/A,36.00,52,0.03,14,32-45 mm,38.50,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,The channel that contains the majority of flow,1,7,R,Right,PO,Pool,M,29.00,92,0.01,20,256-362 mm,309.00,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,The channel that contains the majority of flow,1,10,R,Right,PO,Pool,M,33.00,96,0.07,24,> 4096 bedrock,10000.00,0,Absent (0%),0.00,0,Absent (0%),0.00,
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,side channel,The channel that contains the lesser amount of flow,1,4,L,Left,RI,Riffle,N/A,3.40,11,0.07,16,64-90 mm,77.00,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
Buffalo National River,BUFF,BUFFRMFISHBM01,01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,5/20/2008 0:00:00,5/20/2008 0:00:00,,side channel,The channel that contains the lesser amount of flow,1,4,M,Middle,RI,Riffle,N/A,3.40,10,9.99999977648258e-03,15,45-64 mm,54.50,2,Moderate (10-40%),25.00,2,Moderate (10-40%),25.00,
