ParkName,ParkCode,LocationID,LocationNumber,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_Season,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,ChannelType,SiteNumber,SampleLocation,tbl_ShinerRiparianCorridor_Season,RiparianCover_0to25_m,RiparianCover_26to50_m,RiparianCover_51to75_m,RiparianCover_76to100_m,RiparianCover_GT100_m,StreamBankErosionCover
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,main,4,R,2004,3,3,3,3,3,6
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,main,5,R,2004,3,3,3,3,3,6
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2006Aug31,2006,8/31/2006 0:00:00,8/31/2006 0:00:00,HOMEShiner2006Aug31,2006,8/31/2006 0:00:00,8/31/2006 0:00:00,main,3,L,2006,1,1,1,1,1,3
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2006Aug31,2006,8/31/2006 0:00:00,8/31/2006 0:00:00,HOMEShiner2006Aug31,2006,8/31/2006 0:00:00,8/31/2006 0:00:00,main,4,L,2006,1,1,1,1,1,2
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2006Aug31,2006,8/31/2006 0:00:00,8/31/2006 0:00:00,HOMEShiner2006Aug31,2006,8/31/2006 0:00:00,8/31/2006 0:00:00,main,5,L,2006,1,1,1,1,1,1
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2008Aug27,2008,8/27/2008 0:00:00,8/27/2008 0:00:00,HOMEShiner2008Aug27,2008,8/27/2008 0:00:00,8/27/2008 0:00:00,main,5,L,2008,1,1,1,1,1,6
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2017Sep07,2017,9/7/2017 0:00:00,9/7/2017 0:00:00,HOMEShiner2017Sep07,2017,9/7/2017 0:00:00,9/7/2017 0:00:00,main,2,R,2017,3,3,3,3,3,5
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2017Sep07,2017,9/7/2017 0:00:00,9/7/2017 0:00:00,HOMEShiner2017Sep07,2017,9/7/2017 0:00:00,9/7/2017 0:00:00,main,3,R,2017,3,3,3,3,3,5
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2017Sep07,2017,9/7/2017 0:00:00,9/7/2017 0:00:00,HOMEShiner2017Sep07,2017,9/7/2017 0:00:00,9/7/2017 0:00:00,main,4,R,2017,3,3,3,3,3,6
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2017Sep07,2017,9/7/2017 0:00:00,9/7/2017 0:00:00,HOMEShiner2017Sep07,2017,9/7/2017 0:00:00,9/7/2017 0:00:00,main,5,R,2017,3,3,3,3,3,6
Homestead National Monument of America,HOME,HOMEShiner01lower,1,mainstem,,Cub Creek - North,,Gage,,HOMELOW01,,,HOMEShiner2023Sep07,2023,9/7/2023 0:00:00,9/7/2023 0:00:00,HOMEShiner2023Sep07,2023,9/7/2023 0:00:00,9/7/2023 0:00:00,main,5,L,2023,1,1,1,1,1,5
Homestead National Monument of America,HOME,HOMEShiner01upper,1,mainstem,,Cub Creek - West,,Gage,,HOMEUPP01,,,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,main,1,L,2004,1,1,1,1,1,4
Homestead National Monument of America,HOME,HOMEShiner01upper,1,mainstem,,Cub Creek - West,,Gage,,HOMEUPP01,,,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,main,1,R,2004,1,1,1,1,1,4
Homestead National Monument of America,HOME,HOMEShiner01upper,1,mainstem,,Cub Creek - West,,Gage,,HOMEUPP01,,,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,main,2,L,2004,1,1,1,1,1,4
Homestead National Monument of America,HOME,HOMEShiner01upper,1,mainstem,,Cub Creek - West,,Gage,,HOMEUPP01,,,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,main,2,R,2004,1,1,1,1,1,4
Homestead National Monument of America,HOME,HOMEShiner01upper,1,mainstem,,Cub Creek - West,,Gage,,HOMEUPP01,,,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,main,3,L,2004,1,1,1,1,1,4
Homestead National Monument of America,HOME,HOMEShiner01upper,1,mainstem,,Cub Creek - West,,Gage,,HOMEUPP01,,,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,HOMEShiner2004Sep13,2004,9/13/2004 0:00:00,9/13/2004 0:00:00,main,4,L,2004,1,1,1,1,1,4
Pipestone National Monument,PIPE,PIPEShiner01above,1,mainstem,,Pipestone Creek - Above falls,,Pipestone,,PIPEABV01,,,PIPEShiner2001Sep11,2001,9/11/2001 0:00:00,9/12/2001 0:00:00,PIPEShiner2001Sep12,2001,9/12/2001 0:00:00,9/12/2001 0:00:00,main,3,L,2001,3,3,3,3,3,0
