ParkName,ParkCode,LocationID,LocationType,LocationDescription,StreamName,TributaryName,County,StretchNumber,ReachID,ReachLength_m,StreamWatershedArea_sqkm,PeriodID,tbl_SamplingPeriods_Season,tbl_SamplingPeriods_StartDate,tbl_SamplingPeriods_EndDate,EventID,tbl_SamplingEvents_Season,tbl_SamplingEvents_StartDate,tbl_SamplingEvents_EndDate,AdditionalComments,ChannelType,ChannelTypeDescr,tbl_TransectSpacingInterval_Season,ChannelTypeSampledLength_m,NumberOfTransects,TransectSpacingInterval_m
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY23,2006,5/23/2006 0:00:00,5/23/2006 0:00:00,,main,The channel that contains the majority of flow,2006,290,11,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,2007,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,main,The channel that contains the majority of flow,2007,290,11,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May22,2007,5/22/2007 0:00:00,5/22/2007 0:00:00,rain showers early this morning,side channel,The channel that contains the lesser amount of flow,2007,290,5,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,2008,5/20/2008 0:00:00,5/20/2008 0:00:00,,side channel,The channel that contains the lesser amount of flow,2008,290,5,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May20,2008,5/20/2008 0:00:00,5/20/2008 0:00:00,,main,The channel that contains the majority of flow,2008,290,11,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,2009,5/27/2009 0:00:00,5/27/2009 0:00:00,,side channel,The channel that contains the lesser amount of flow,2009,290,5,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May27,2009,5/27/2009 0:00:00,5/27/2009 0:00:00,,main,The channel that contains the majority of flow,2009,290,11,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010May27,2010,5/27/2010 0:00:00,5/27/2010 0:00:00,Water up about half a foot and moderately turbid.  Visibility about 3 feet. Was able to see bottom along banks.,side channel,The channel that contains the lesser amount of flow,2010,290,5,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010May27,2010,5/27/2010 0:00:00,5/27/2010 0:00:00,Water up about half a foot and moderately turbid.  Visibility about 3 feet. Was able to see bottom along banks.,main,The channel that contains the majority of flow,2010,290,11,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013May29,2013,5/29/2013 0:00:00,5/29/2013 0:00:00,,side channel,The channel that contains the lesser amount of flow,2013,290,5,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013May29,2013,5/29/2013 0:00:00,5/29/2013 0:00:00,,main,The channel that contains the majority of flow,2013,290,11,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFrmfish2015May22,2015,5/22/2015 0:00:00,7/1/2015 0:00:00,BUFFrmfish2015Jun05,2015,6/5/2015 0:00:00,6/5/2015 0:00:00,,Side channel,The channel that contains the lesser amount of flow,2015,290,5,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFrmfish2015May22,2015,5/22/2015 0:00:00,7/1/2015 0:00:00,BUFFrmfish2015Jun05,2015,6/5/2015 0:00:00,6/5/2015 0:00:00,,Main,The channel that contains the majority of flow,2015,290,11,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017May31,2017,5/31/2017 0:00:00,5/31/2017 0:00:00,,Side channel,The channel that contains the lesser amount of flow,2017,290,5,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017May31,2017,5/31/2017 0:00:00,5/31/2017 0:00:00,,Main,The channel that contains the majority of flow,2017,290,11,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019May23,2019,5/23/2019 0:00:00,5/23/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,side channel,The channel that contains the lesser amount of flow,2019,290,5,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019May23,2019,5/23/2019 0:00:00,5/23/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,main,The channel that contains the majority of flow,2019,290,11,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023May24,2023,5/24/2023 0:00:00,5/24/2023 0:00:00,,main,The channel that contains the majority of flow,2023,290,11,29.00
Buffalo National River,BUFF,BUFFRMFISHBM01,Mainstem,,Buffalo River,,Newton,24,BUFFM01,290,238.00,BUFFRMFISH2023May23,2023,5/23/2023 0:00:00,6/14/2023 0:00:00,BUFFRMFISH2023May24,2023,5/24/2023 0:00:00,5/24/2023 0:00:00,,side channel,The channel that contains the lesser amount of flow,2023,290,6,29.00
Buffalo National River,BUFF,BUFFRMFISHBM02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006MAY30,2006,5/30/2006 0:00:00,5/31/2006 0:00:00,,main,The channel that contains the majority of flow,2006,440,11,44.00
Buffalo National River,BUFF,BUFFRMFISHBM02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May23,2007,5/23/2007 0:00:00,5/23/2007 0:00:00,,main,The channel that contains the majority of flow,2007,440,11,44.00
Buffalo National River,BUFF,BUFFRMFISHBM02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008May22,2008,5/22/2008 0:00:00,5/22/2008 0:00:00,,main,The channel that contains the majority of flow,2008,440,11,44.00
Buffalo National River,BUFF,BUFFRMFISHBM02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2009May19,2009,5/19/2009 0:00:00,6/10/2009 0:00:00,BUFFRMFish2009May28,2009,5/28/2009 0:00:00,5/28/2009 0:00:00,,main,The channel that contains the majority of flow,2009,440,11,44.00
Buffalo National River,BUFF,BUFFRMFISHBM02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2010May17,2010,5/17/2010 0:00:00,6/25/2010 0:00:00,BUFFRMFish2010May26,2010,5/26/2010 0:00:00,5/26/2010 0:00:00,,main,The channel that contains the majority of flow,2010,440,11,44.00
Buffalo National River,BUFF,BUFFRMFISHBM02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2013May20,2013,5/20/2013 0:00:00,6/30/2013 0:00:00,BUFFRMFish2013May28,2013,5/28/2013 0:00:00,5/28/2013 0:00:00,Slight haze to water, but water levels normal.,main,The channel that contains the majority of flow,2013,440,11,44.00
Buffalo National River,BUFF,BUFFRMFISHBM02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFrmfish2015May22,2015,5/22/2015 0:00:00,7/1/2015 0:00:00,BUFFrmfish2015Jun09,2015,6/9/2015 0:00:00,6/10/2015 0:00:00,,Main,The channel that contains the majority of flow,2015,440,11,44.00
Buffalo National River,BUFF,BUFFRMFISHBM02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2017May24,2017,5/24/2017 0:00:00,6/22/2017 0:00:00,BUFFRMFISH2017Jun01,2017,6/1/2017 0:00:00,6/1/2017 0:00:00,,Main,The channel that contains the majority of flow,2017,440,11,44.00
Buffalo National River,BUFF,BUFFRMFISHBM02,Mainstem,,Buffalo River,,Newton,55,BUFFM02,440,566.00,BUFFRMFISH2019May22,2019,5/22/2019 0:00:00,6/20/2019 0:00:00,BUFFRMFISH2019Jun12,2019,6/12/2019 0:00:00,6/13/2019 0:00:00,All data and sites for BUFF 2019 is flagged due to repeated high rain and flood events. Diversity and abundance was low. Flag data in Fish Community and Individual Fish tables for all sites.,main,The channel that contains the majority of flow,2019,440,11,44.00
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2006MAY22,2006,5/22/2006 0:00:00,6/12/2006 0:00:00,BUFFRMFISH2006JUN01,2006,6/1/2006 0:00:00,6/1/2006 0:00:00,,main,The channel that contains the majority of flow,2006,600,11,60.00
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2007May21,2007,5/21/2007 0:00:00,6/20/2007 0:00:00,BUFFRMFish2007May30,2007,5/30/2007 0:00:00,5/30/2007 0:00:00,,main,The channel that contains the majority of flow,2007,600,11,60.00
Buffalo National River,BUFF,BUFFRMFISHBM03,Mainstem,,Buffalo River,,Newton,59,BUFFM03,600,1274.00,BUFFRMFISH2008May19,2008,5/19/2008 0:00:00,6/19/2008 0:00:00,BUFFRMFish2008Jun03,2008,6/3/2008 0:00:00,6/3/2008 0:00:00,,main,The channel that contains the majority of flow,2008,600,11,60.00
